dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
0.0,0.0,0.1,alzenad2017,oort,16,5.0,0.00030517578125,0.023439978211392952,0.9264705882352942,0.014984566132523277,0.03194442229949785,False,accuracy,wilcoxon,holm
0.0,0.0,0.1,fair_mab,oort,16,5.0,0.00030517578125,0.022196719683224404,0.9264705882352942,0.01363442232244899,0.029742050675846978,False,accuracy,wilcoxon,holm
0.1,0.0,0.0,mozaffari2016,oort,16,5.0,0.00030517578125,0.020158313172310087,0.9264705882352942,0.012641609172719254,0.027461316758392845,False,accuracy,wilcoxon,holm
0.0,0.0,0.0,mozaffari2016,oort,16,6.0,0.00042724609375,0.021760894431086364,0.9117647058823529,0.013593626723326903,0.02942856287894446,False,accuracy,wilcoxon,holm
0.0,0.0,0.05,fedcs,mozaffari2016,16,6.0,0.00042724609375,-0.015323642904568474,-0.9117647058823529,-0.02062488464463556,-0.009602763419964817,False,accuracy,wilcoxon,holm
0.0,0.0,0.2,hfl_no_selection,oort,16,6.0,0.00042724609375,0.02535338572811617,0.9117647058823529,0.0166218937712971,0.033640896192524875,False,accuracy,wilcoxon,holm
0.1,0.0,0.0,fair_mab,fedcs,16,6.0,0.00042724609375,0.014549451292332358,0.9117647058823529,0.00845538258686472,0.02105007531465836,False,accuracy,wilcoxon,holm
0.0,0.0,0.1,fedcs,proposed_hfl,16,0.0,0.00043680902321148305,-0.014167229120787009,-1.0,-0.017010138770207347,-0.011133492673470639,False,accuracy,wilcoxon,holm
0.3,0.0,0.0,fair_mab,fedcs,16,7.0,0.000579833984375,0.013774260854829135,0.8970588235294118,0.007671287264433807,0.019691051532381244,False,accuracy,wilcoxon,holm
0.1,0.0,0.0,fair_mab,oort,16,7.0,0.000579833984375,0.017985597479541024,0.8970588235294118,0.010914191166401584,0.024950770106051616,False,accuracy,wilcoxon,holm
0.0,0.0,0.05,oort,proposed_hfl,16,8.0,0.000762939453125,-0.017764890663774534,-0.8823529411764706,-0.025206829961100546,-0.010335928655710524,False,accuracy,wilcoxon,holm
0.2,0.0,0.0,alzenad2017,oort,16,8.0,0.000762939453125,0.017851247156469734,0.8823529411764706,0.010289840735607462,0.025171368605228277,False,accuracy,wilcoxon,holm
0.0,0.0,0.05,mozaffari2016,oort,16,8.0,0.000762939453125,0.020554891811553927,0.8823529411764706,0.011723517616933058,0.028813721554895977,False,accuracy,wilcoxon,holm
0.1,0.0,0.0,alzenad2017,oort,16,9.0,0.001007080078125,0.021009495337419526,0.8676470588235294,0.012493655449770106,0.02892264192661989,False,accuracy,wilcoxon,holm
0.0,0.0,0.2,oort,proposed_hfl,16,9.0,0.001007080078125,-0.021699176135450825,-0.8676470588235294,-0.029724433825717628,-0.013172774372271065,False,accuracy,wilcoxon,holm
0.0,0.0,0.05,hfl_no_selection,oort,16,9.0,0.001007080078125,0.018782294987014662,0.8676470588235294,0.009908507107171336,0.028566739046116837,False,accuracy,wilcoxon,holm
0.0,6.0,0.0,fedcs,hfl_no_selection,16,10.0,0.001312255859375,-0.013819592710693412,-0.8529411764705882,-0.020957396918177957,-0.006952010557384706,False,accuracy,wilcoxon,holm
