scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
real_N250_K10,ga,random,20,0.0,1.9073486328125e-06,0.3069064662795586,1.0,0.2872116892396227,0.3262343311825405,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,static,20,0.0,1.9073486328125e-06,0.09118342290585126,1.0,0.07429539656776184,0.10739347843094292,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,static,20,0.0,1.9073486328125e-06,-0.3507865560114917,-1.0,-0.3898312493628827,-0.31418900258395405,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,random,20,0.0,1.9073486328125e-06,-0.13280331315479801,-1.0,-0.14600598503152068,-0.11945625798059953,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,random,20,0.0,1.9073486328125e-06,-0.18077145983919857,-1.0,-0.19823796626670956,-0.1667826944850962,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,random,static,20,0.0,1.9073486328125e-06,-0.382552354454314,-1.0,-0.42587181375885297,-0.33721924645569584,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,random,static,20,0.0,1.9073486328125e-06,-0.18488944592603074,-1.0,-0.2235473486161074,-0.1453919102906118,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,static,20,0.0,1.9073486328125e-06,0.1893710865291563,1.0,0.17218050387835965,0.20476457978523957,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,static,20,0.0,1.9073486328125e-06,0.08408395207196458,1.0,0.06634262463869008,0.10406724900140328,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,pso,static,20,0.0,1.9073486328125e-06,0.20995072383429275,1.0,0.1883536790022286,0.23015037947698522,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,random,20,0.0,1.9073486328125e-06,0.1759609025444523,1.0,0.17061205438439303,0.1818411908878891,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,pso,random,20,0.0,1.9073486328125e-06,0.30348597658931337,1.0,0.28442098233211544,0.31953582911034006,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,random,20,0.0,1.9073486328125e-06,0.4666363065262786,1.0,0.43340318402915956,0.5008356099828072,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,static,20,0.0,1.9073486328125e-06,0.2219591363310144,1.0,0.19393912007695513,0.24934775381817284,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,random,20,0.0,1.9073486328125e-06,0.4068485822570452,1.0,0.3872775941489435,0.42409564406999234,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,static,20,0.0,1.9073486328125e-06,-0.11939312917009404,-1.0,-0.13808966578056103,-0.10265614377684572,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,static,20,0.0,1.9073486328125e-06,-0.254952062005997,-1.0,-0.2920321306352907,-0.21947492812055774,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,static,20,0.0,1.9073486328125e-06,-0.27430671259421924,-1.0,-0.29441182413960937,-0.2548058754300547,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,random,20,0.0,1.9073486328125e-06,-0.1658971100854611,-1.0,-0.2003337826127254,-0.13078009125981302,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,pso,20,1.0,3.814697265625e-06,-0.05301232093087915,-0.9904761904761905,-0.07534349749620194,-0.03388322082164031,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,static,20,1.0,3.814697265625e-06,0.17891350686376692,0.9904761904761905,0.13994743569923523,0.21660686576319493,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,mozaffari2016,20,2.0,5.7220458984375e-06,0.21039649838405344,0.9809523809523809,0.15143245013856885,0.267864887216027,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,centroid,20,3.0,9.5367431640625e-06,0.027088609326495983,0.9714285714285714,0.019730402505927634,0.033873957230300906,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,random,static,20,5.0,1.9073486328125e-05,-0.0935352527550206,-0.9523809523809523,-0.1185776385822656,-0.06646701322858721,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,pso,20,5.0,1.9073486328125e-05,0.030514980222673172,0.9523809523809523,0.02148678435909372,0.03957352874491105,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,pso,20,9.0,6.29425048828125e-05,-0.024160002906962786,-0.9142857142857143,-0.032163557370469685,-0.015419918053146906,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,ga,20,10.0,8.20159912109375e-05,0.05314926076575945,0.9047619047619048,0.031186643009254562,0.07843299234970157,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,pso,20,15.0,0.0002613067626953125,-0.0207201250050491,-0.8571428571428571,-0.029591170555386972,-0.01204897653813495,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,random,20,18.0,0.0004825592041015625,0.127600292448317,0.8285714285714286,0.06983818015240449,0.1847085836861368,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,ga,20,18.0,0.0004825592041015625,-0.075627194763029,-0.8285714285714286,-0.11150945750484927,-0.04134369296447925,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,ga,20,21.0,0.000850677490234375,0.02212116806285233,0.8,0.01155528192255486,0.031935719106287945,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,pso,20,28.0,0.002712249755859375,-0.043045629467247555,-0.7333333333333333,-0.06696790790349595,-0.02136967678547034,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,ga,20,30.0,0.00365447998046875,0.04597423588678075,0.7142857142857143,0.021090227222931652,0.07326547357883988,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,ga,20,31.0,0.0042209625244140625,-0.024140614695294275,-0.7047619047619048,-0.03743706339062383,-0.009720353992865964,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,static,20,52.0,0.04844093322753906,-0.04455556362194358,-0.5047619047619047,-0.08582224999891853,-0.003211457826858498,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,static,20,59.0,0.08969497680664062,0.031071631141085427,0.4380952380952381,-0.0004097250503605014,0.06236531445538708,False,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,random,static,20,64.0,0.13272666931152344,0.013410183984703967,0.3904761904761905,-0.004004433737600808,0.030057423585013152,False,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,ga,pso,20,68.0,0.17685317993164062,0.008393812159820841,0.3523809523809524,-0.0018320417498682122,0.0185366819757904,False,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,alzenad2017,pso,20,79.0,0.34881019592285156,0.0029286064195331975,0.24761904761904763,-0.005237773502164799,0.01029669590990685,False,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,centroid,ga,20,81.0,0.38837623596191406,0.01888562656028477,0.22857142857142856,-0.007221330891426096,0.048763361031195045,False,table,,final_fitness,wilcoxon,holm
real_N250_K10,ga,pso,20,88.0,0.5458755493164062,0.0034204896902451736,0.1619047619047619,-0.011439627943660616,0.016533221189082393,False,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,pso,20,103.0,0.956329345703125,0.00013693983488028972,0.01904761904761905,-0.005423699087024906,0.005603462781117682,False,table,,final_fitness,wilcoxon,holm
