method,round,accuracy,macro_f1,fairness,comm_cost
battery_only,4,0.4536321483771252,0.2636764175391433,0.6428571428539541,0.7000000000000003
battery_only,5,0.5795981452859351,0.3205317554911554,0.6428571428551021,0.8800000000000004
battery_only,6,0.6174652241112828,0.3344282455049501,0.6428571428557256,1.0600000000000005
battery_only,7,0.6275115919629057,0.33050606414660605,0.6428571428561016,1.2400000000000007
battery_only,8,0.6499227202472952,0.33523796497377895,0.6428571428563457,1.4000000000000008
battery_only,9,0.6615146831530139,0.3545978114745766,0.642857142856513,1.580000000000001
battery_only,10,0.6854714064914992,0.3762428633264507,0.6422085292681674,1.740000000000001
battery_only,11,0.6761978361669243,0.37689556350632214,0.6406781969218026,1.9000000000000012
battery_only,12,0.6638330757341576,0.37922303724064754,0.6386861313864913,2.0600000000000014
battery_only,13,0.6877897990726429,0.37542045756502074,0.6364769215428987,2.2200000000000015
battery_only,14,0.7009273570324575,0.37577041661916316,0.6372856272305052,2.3800000000000017
battery_only,15,0.7272024729520865,0.361307020453179,0.6373420145535666,2.520000000000002
battery_only,16,0.6986089644513137,0.3709612493819424,0.6345546864276675,2.660000000000002
battery_only,17,0.6854714064914992,0.3705024955614239,0.6317042606514311,2.780000000000002
battery_only,18,0.6692426584234931,0.3621379579567605,0.6287169042768028,2.880000000000002
battery_only,19,0.7001545595054096,0.3623943430879361,0.625108225108056,2.980000000000002
battery_only,20,0.7480680061823802,0.3847670936743153,0.6239128261519985,3.1000000000000023
battery_only,21,0.7202472952086554,0.3763779564483495,0.622837451357161,3.2000000000000024
battery_only,22,0.7480680061823802,0.3705694217469691,0.6210720887244475,3.3000000000000025
battery_only,23,0.7364760432766615,0.3622165072962814,0.6185845047399848,3.4200000000000026
battery_only,24,0.7557959814528593,0.3777866365637349,0.6158290884207756,3.5400000000000027
battery_only,25,0.7418856259659969,0.3744772043938656,0.6141592609503997,3.680000000000003
battery_only,26,0.7534775888717156,0.3362600641810963,0.6123657663519994,3.820000000000003
battery_only,27,0.7256568778979907,0.37365889763892945,0.6117841242919816,3.960000000000003
battery_only,28,0.7372488408037094,0.37922931131386356,0.6109698921085959,4.1000000000000005
battery_only,29,0.7465224111282844,0.35456555341864016,0.6099733445936225,4.219999999999998
battery_only,30,0.7349304482225657,0.3826461923847748,0.6088353016750743,4.359999999999995
utility_only,1,0.10432766615146831,0.0867770122799141,0.6428571428061225,0.18
utility_only,2,0.11669242658423493,0.12108028947750406,0.6428571428443878,0.34
utility_only,3,0.30525502318392583,0.2242615080784972,0.642857142851474,0.5200000000000001
utility_only,4,0.43044822256568777,0.26007887315568917,0.6428571428539541,0.7000000000000003
utility_only,5,0.5834621329211747,0.3130021380227129,0.6428571428551021,0.8800000000000004
utility_only,6,0.6004636785162287,0.33995393603282675,0.6428571428557256,1.0600000000000005
utility_only,7,0.6707882534775889,0.34392754937774683,0.6428571428561016,1.2400000000000007
utility_only,8,0.6476043276661515,0.36109966316807124,0.6428571428563457,1.4000000000000008
utility_only,9,0.6924265842349304,0.3609939509235387,0.642857142856513,1.580000000000001
utility_only,10,0.6993817619783617,0.3913405391496458,0.6422085292681674,1.740000000000001
utility_only,11,0.6808346213292118,0.3715528225729336,0.6406781969218026,1.9000000000000012
utility_only,12,0.7001545595054096,0.3778151449687328,0.6386861313864913,2.0600000000000014
utility_only,13,0.6947449768160742,0.38431520282869075,0.6364769215428987,2.2200000000000015
utility_only,14,0.6924265842349304,0.37257796300226953,0.6372856272305052,2.3800000000000017
utility_only,15,0.6947449768160742,0.35943932661981043,0.6373420145535666,2.520000000000002
utility_only,16,0.714064914992272,0.3726403712440793,0.6345546864276675,2.660000000000002
utility_only,17,0.6901081916537867,0.36950524879856245,0.6317042606514311,2.780000000000002
