scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
uniform_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,-0.1267223402295226,-1.0,-0.1370309965927426,-0.11619730595101253,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,-0.1737609563241943,-1.0,-0.18570287112715292,-0.16289366123156793,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,random,30,0.0,1.862645149230957e-09,-0.1346834100631436,-1.0,-0.15677698341576793,-0.11260009370976848,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.30342477343239793,1.0,0.28851130416639376,0.31739503016083065,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.3852627975209226,1.0,0.3691662688188969,0.40151470737809525,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,pso,random,30,0.0,1.862645149230957e-09,0.2632674005454172,1.0,0.25082163169935373,0.27449138629005204,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.4651538501542651,1.0,0.4361272489625396,0.49211837008503256,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.2030066011022397,1.0,0.18907162769864125,0.21653967965329382,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.35335405236849315,1.0,0.3299118971154914,0.3755000315236809,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,static,30,0.0,1.862645149230957e-09,0.28787162319395226,1.0,0.21341534010958274,0.3623029446678376,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,random,30,1.0,3.725290298461914e-09,0.07315620993897648,0.9956989247311828,0.06267043935678081,0.08369641688319536,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,pso,30,1.0,3.725290298461914e-09,-0.08061871813603468,-0.9956989247311828,-0.10267702368505362,-0.05950770944686494,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,static,30,3.0,9.313225746154785e-09,0.09962572634746526,0.9870967741935484,0.08289243190549785,0.11466396396758795,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,pso,30,10.0,8.009374141693115e-08,-0.019279873701370905,-0.956989247311828,-0.023531831887251695,-0.014819166047385984,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,static,30,10.0,8.009374141693115e-08,-0.08367430450111822,-0.956989247311828,-0.10713470676614331,-0.06157696972117314,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,alzenad2017,centroid,30,11.0,1.0244548320770264e-07,0.020788127751048917,0.9526881720430107,0.015274292392347164,0.026473197824975755,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,random,static,30,13.0,1.6391277313232422e-07,0.16172907672186712,0.9440860215053763,0.1251338372014774,0.19547406073070578,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,centroid,static,30,14.0,2.0489096641540527e-07,0.24930709349648053,0.9397849462365592,0.17497925225846614,0.3245905712532143,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,mozaffari2016,30,15.0,2.551823854446411e-07,0.1247542679927779,0.9354838709677419,0.08992420155533981,0.15926335844959072,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,alzenad2017,pso,30,15.0,2.551823854446411e-07,0.022715925393339817,0.9354838709677419,0.016468529927628688,0.029088000319389254,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,alzenad2017,ga,30,21.0,8.326023817062378e-07,-0.08479086081295825,-0.9096774193548387,-0.10591923646608954,-0.06221233960834663,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,centroid,ga,30,23.0,1.1920928955078125e-06,-0.0256810168252703,-0.9010752688172043,-0.033310030692768965,-0.018098424536131922,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,random,static,30,26.0,1.991167664527893e-06,0.09008665182307607,0.8881720430107527,0.062366594472885145,0.11660066297741338,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,mozaffari2016,random,30,28.0,2.7623027563095093e-06,0.09509895057915177,0.8795698924731182,0.06475783524757177,0.12389999100491472,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,ga,pso,30,34.0,6.917864084243774e-06,-0.032622346579832616,-0.853763440860215,-0.04536091238767793,-0.020800448888269922,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,ga,static,30,52.0,7.056817412376404e-05,0.2072529050579176,0.7763440860215054,0.12688505025477104,0.2877922175114534,True,table,,final_fitness,wilcoxon,holm
