harness,method,N,seed_idx,job_seed,seed,partition_seed
paper_sweep,fair_mab,200,5,55671,48765,5314
paper_sweep,fair_mab,200,6,63590,40812,5315
paper_sweep,fair_mab,200,7,71509,94303,5316
paper_sweep,fair_mab,200,8,79428,86350,5317
paper_sweep,fair_mab,200,9,87347,78393,5318
paper_sweep,power_of_choice,200,0,16076,57199,5309
paper_sweep,power_of_choice,200,1,23995,48152,5310
paper_sweep,power_of_choice,200,2,31914,40201,5311
paper_sweep,power_of_choice,200,3,39833,31290,5312
paper_sweep,power_of_choice,200,4,47752,23339,5313
paper_sweep,power_of_choice,200,5,55671,14548,5314
paper_sweep,power_of_choice,200,6,63590,6597,5315
paper_sweep,power_of_choice,200,7,71509,128758,5316
paper_sweep,power_of_choice,200,8,79428,120807,5317
paper_sweep,power_of_choice,200,9,87347,111760,5318
paper_sweep,mozaffari2016,200,0,16076,27295,5309
paper_sweep,mozaffari2016,200,1,23995,2536,5310
paper_sweep,mozaffari2016,200,2,31914,10489,5311
paper_sweep,mozaffari2016,200,3,39833,53194,5312
paper_sweep,mozaffari2016,200,4,47752,61147,5313
paper_sweep,mozaffari2016,200,5,55671,36132,5314
paper_sweep,mozaffari2016,200,6,63590,44085,5315
paper_sweep,mozaffari2016,200,7,71509,82694,5316
paper_sweep,mozaffari2016,200,8,79428,90647,5317
paper_sweep,mozaffari2016,200,9,87347,65888,5318
paper_sweep,alzenad2017,200,0,16076,25300,5309
paper_sweep,alzenad2017,200,1,23995,419,5310
paper_sweep,alzenad2017,200,2,31914,8370,5311
paper_sweep,alzenad2017,200,3,39833,51073,5312
paper_sweep,alzenad2017,200,4,47752,59024,5313
paper_sweep,alzenad2017,200,5,55671,34159,5314
paper_sweep,alzenad2017,200,6,63590,42110,5315
paper_sweep,alzenad2017,200,7,71509,84813,5316
paper_sweep,alzenad2017,200,8,79428,92764,5317
paper_sweep,alzenad2017,200,9,87347,67883,5318
