number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_logit_adjust_tau,params_lr,params_lr_decay,params_server_momentum,state
20,0.27032957983791556,2026-08-27 23:24:51.348525,2026-08-27 23:25:39.427736,0 days 00:00:48.079211,0.8342813367258484,0.7043091937866497,0.030773049523006735,sqrt,0.9644893474325797,COMPLETE
24,0.2631548578851824,2026-08-27 23:28:05.472216,2026-08-27 23:28:54.066761,0 days 00:00:48.594545,0.7739376887330496,0.6352074437582609,0.06367314001287805,sqrt,0.6304152589626275,COMPLETE
25,0.26262792738264373,2026-08-27 23:28:54.081122,2026-08-27 23:29:42.037585,0 days 00:00:47.956463,0.5888270759037995,0.38380159809369574,0.04235052382290665,sqrt,0.7451542939385267,COMPLETE
12,0.26197663068910626,2026-08-27 23:18:21.241137,2026-08-27 23:19:08.993622,0 days 00:00:47.752485,0.7406093232386091,0.7886302547775993,0.09817719599160103,sqrt,0.5758145538604132,COMPLETE
6,0.26139142811087535,2026-08-27 23:13:22.280152,2026-08-27 23:14:11.753236,0 days 00:00:49.473084,0.5979970197410288,0.17852732414438144,0.028205314916067044,cosine,0.30496019704112953,COMPLETE
16,0.2566075101742895,2026-08-27 23:21:35.991254,2026-08-27 23:22:25.177288,0 days 00:00:49.186034,0.39227133303171613,0.9185714165123523,0.03570980172888239,none,0.6889119695945359,COMPLETE
19,0.25266132130423286,2026-08-27 23:24:02.512803,2026-08-27 23:24:51.328942,0 days 00:00:48.816139,0.6758977264559589,0.3969294133597264,0.04398284027164639,none,0.7068953668744044,COMPLETE
1,0.2503093493854179,2026-08-27 23:09:14.923242,2026-08-27 23:10:03.829733,0 days 00:00:48.906491,0.5204097312929685,0.2524061085933311,0.052760838690006195,cosine,0.012843673346225881,COMPLETE
17,0.24747092863105466,2026-08-27 23:22:25.199891,2026-08-27 23:23:13.554504,0 days 00:00:48.354613,0.8242409518666225,0.7164616379310558,0.0889296296137633,sqrt,0.5707834655569145,COMPLETE
28,0.24562807606311096,2026-08-27 23:31:21.311742,2026-08-27 23:32:10.516758,0 days 00:00:49.205016,0.44292197875757555,0.4807685117798495,0.06620211824624464,none,0.880303570627702,COMPLETE
18,0.23094697422695956,2026-08-27 23:23:13.570938,2026-08-27 23:24:02.498690,0 days 00:00:48.927752,0.9686132768612415,1.1328022050476438,0.016600058047017113,sqrt,0.8527332675715189,COMPLETE
4,0.2274927662703963,2026-08-27 23:11:41.951676,2026-08-27 23:12:31.977381,0 days 00:00:50.025705,0.13140811624788834,0.48733010709844926,0.05034787065670568,sqrt,0.9609284504973935,COMPLETE
14,0.22491857707253263,2026-08-27 23:19:58.273783,2026-08-27 23:20:47.678182,0 days 00:00:49.404399,0.30445146494587844,0.021402051165289926,0.0010026216569662167,sqrt,0.4575112301681692,COMPLETE
3,0.22063421106754444,2026-08-27 23:10:51.478547,2026-08-27 23:11:41.937538,0 days 00:00:50.458991,0.15713127260911128,1.2767388466859053,0.010607246972519285,cosine,0.14586177360342642,COMPLETE
5,0.18384500348407185,2026-08-27 23:12:31.992153,2026-08-27 23:13:22.265729,0 days 00:00:50.273576,0.3856581523036965,1.5069744935117575,0.00886920842252349,sqrt,0.7805114218404514,COMPLETE
8,0.1779476083348863,2026-08-27 23:15:01.901540,2026-08-27 23:15:52.408497,0 days 00:00:50.506957,0.9000739893638872,1.3438936738560754,0.008895006613449642,none,0.2091395394747062,COMPLETE
7,0.04601128539549058,2026-08-27 23:14:11.767144,2026-08-27 23:15:01.887278,0 days 00:00:50.120134,0.5299962062556333,1.8586330862417324,0.005529286279284666,sqrt,0.3730496646359402,COMPLETE
