number,value,datetime_start,datetime_complete,duration,params_ema_decay,params_fitness_0,params_fitness_1,params_fitness_2,params_logit_adjust_tau,params_lr,params_lr_decay,params_reputation_0,params_reputation_1,params_reputation_2,params_sel_gumbel_scale,params_sel_priority_0,params_sel_priority_1,params_sel_static_blend,params_server_momentum,params_utility_0,params_utility_1,params_utility_2,params_utility_3,state
14,-inf,2026-08-26 03:40:43.431562,2026-08-26 03:40:43.695503,0 days 00:00:00.263941,0.013050919799679428,0.4583958938267222,0.043276214788950454,0.9721120619129213,0.5356246127889099,0.09810001710495306,sqrt,0.9606900813625071,0.46125941985431207,0.780213456124111,1.0685654173569856,0.83133246429297,0.2678795231464648,0.4995485768490559,0.5582027686306943,0.6267278695335896,0.2436027533250566,0.7239255638827551,0.42316550887973037,COMPLETE
15,-inf,2026-08-26 03:40:43.710064,2026-08-26 03:40:43.958229,0 days 00:00:00.248165,0.2191833282140147,0.5863607506687808,0.4999835962456049,0.638719149106423,1.390261713836771,0.0010021808413770764,cosine,0.820456003425575,0.7942705979247138,0.33073666611138486,0.6853875733318662,0.49466131978439964,0.49354300612713,0.18516059769508697,0.45386324851305904,0.8473542228284572,0.5280407251236975,0.3508152545192097,0.6410178500338386,COMPLETE
16,-inf,2026-08-26 03:40:43.972606,2026-08-26 03:40:44.243180,0 days 00:00:00.270574,0.1441418424115063,0.011907556915788708,0.3083113631277668,0.5055529218334069,0.5692363679943065,0.02794698172311201,none,0.7966649283753295,0.553641577036068,0.9123246770516051,1.05634038895876,0.9177435024153779,0.2049588364323136,0.3779061241209368,0.21379884795564458,0.3684282996756697,0.21353069380474293,0.6958753562817237,0.32578483223197713,COMPLETE
17,-inf,2026-08-26 03:40:44.265726,2026-08-26 03:40:44.536014,0 days 00:00:00.270288,0.2899753593959687,0.2902094884250785,0.14145942175366527,0.7112289217046892,0.7511048382621895,0.012919440816642442,none,0.8995180018553194,0.4285532659028114,0.6920418949374468,0.8414385794670897,0.7396059749914334,0.3151101233339392,0.16048166018972643,0.30597505113229584,0.6042186954656554,0.6916587490902373,0.9786753459322994,0.8814252528821432,COMPLETE
18,-inf,2026-08-26 03:40:44.550250,2026-08-26 03:40:44.824635,0 days 00:00:00.274385,0.11421636701951954,0.16340094360652418,0.2705092596957167,0.9324155933512588,0.058439946873593884,0.024569157504474783,cosine,0.75587224452527,0.3830664442600437,0.8625236553179783,0.4911295016745516,0.7019019698584749,0.7038795777603291,0.315738544948718,0.513186922639242,0.017037300547871947,0.4397767660720648,0.16704119561745728,0.6039195751126238,COMPLETE
19,-inf,2026-08-26 03:40:44.838688,2026-08-26 03:40:45.106491,0 days 00:00:00.267803,0.2922850925468365,0.45652857769381494,0.14842454283997297,0.8933601708780515,1.1621512433518668,0.052261155320477086,sqrt,0.9603642543868319,0.5922354194776253,0.961200150313781,1.1280508515934422,0.817542394582669,0.4440709557670267,0.0014940194582688804,0.6516878345112224,0.9259154206468075,0.27775193099380047,0.38942030418035145,0.7509290788893702,COMPLETE
20,-inf,2026-08-26 03:40:45.121215,2026-08-26 03:40:45.395039,0 days 00:00:00.273824,0.03354466594539238,0.3651586246172899,0.31176145647029735,0.703979855128787,1.980940687325425,0.007612193255946557,none,0.9985591619950356,0.8204715625069392,0.7568748548619785,0.8732314583800742,0.603532015781172,0.5394118864294095,0.515489425045214,0.3668538206297179,0.7712090906150659,0.14932286423311347,0.6178757768315014,0.5431516201411104,COMPLETE
21,-inf,2026-08-26 03:40:45.417804,2026-08-26 03:40:45.695084,0 days 00:00:00.277280,0.4117805126638424,0.5806059096362691,0.38927079081384053,0.45009081369969284,1.6318027636844772,0.04992765146849176,none,0.7387179371242001,0.39918066456687906,0.1669992658612292,0.05095548099929071,0.8881313048445139,0.03212601494397607,0.41072928301075873,0.436555387876057,0.9858841444336918,0.8479344609434031,0.877353574383583,0.46328118496298637,COMPLETE
22,-inf,2026-08-26 03:40:45.710548,2026-08-26 03:40:45.978278,0 days 00:00:00.267730,0.19831529063993292,0.611704380898305,0.4351267057021182,0.4100260077961118,1.708731074646679,0.06368371867781632,none,0.8710748258122297,0.65005707719466,0.17458541585014836,0.28313872650953564,0.8843446410214542,0.10817294761236963,0.46995160741338343,0.3401354249444603,0.9680059957928299,0.5973959497950966,0.7886029205346176,0.5320222405907291,COMPLETE
23,-inf,2026-08-26 03:40:45.992530,2026-08-26 03:40:46.238306,0 days 00:00:00.245776,0.30239674064960154,0.5145708142566611,0.3397010543841861,0.2025578487148241,1.8016939487812318,0.03954173640787359,none,0.7531956793967767,0.5133308592709545,0.22710073984131277,0.7118266580231479,0.9980589763347958,0.06107408545448738,0.2682272317580128,0.4943891297778266,0.9906097497103176,0.8079317016594179,0.9830538327785254,0.35921093120307246,COMPLETE
24,-inf,2026-08-26 03:40:46.252256,2026-08-26 03:40:46.506704,0 days 00:00:00.254448,0.1200381172566416,0.6982017317079812,0.16012661101010134,0.5082304787676345,1.47363105518318,0.0697480257921643,none,0.7163868554785305,0.3278911155725599,0.024720411148966115,0.035517826073878656,0.769658443167473,0.2522421549447419,0.37827122991852336,0.42943154946113493,0.9085079659074231,0.9825240262970406,0.8543339265055536,0.4602885147734509,COMPLETE
25,-inf,2026-08-26 03:40:46.521234,2026-08-26 03:40:46.782144,0 days 00:00:00.260910,0.46713937142569917,0.37603435574584443,0.48254011078808406,0.8906321113280624,1.8885621571353823,0.02974465271870953,cosine,0.6237312529402202,0.5077563144564485,0.4080703435972812,0.4246379983350083,0.6763245763328286,0.091216969230901,0.58512195003554,0.31218395707368984,0.8390586716346691,0.7755287076103482,0.807627554819907,0.68792854023295,COMPLETE
26,-inf,2026-08-26 03:40:46.805309,2026-08-26 03:40:47.088136,0 days 00:00:00.282827,0.0006393922979750777,0.10060575552700446,0.26603250420023977,0.568783883152924,1.725587462685788,0.05243098925673291,none,0.8238254054930055,0.36138224672951424,0.27863031738273114,0.5432494781399205,0.8413889703259833,0.1637134180227523,0.11444731299367572,0.6167404828935467,0.7596027976641675,0.4563508598827808,0.6750445874638589,0.5653770247997417,COMPLETE
27,-inf,2026-08-26 03:40:47.110915,2026-08-26 03:40:47.391689,0 days 00:00:00.280774,0.15718812438338753,0.2051970707461685,0.01506003529113166,0.6657448566272769,1.5789951703763285,0.019070494914055627,none,0.8555354303741016,0.7312992091386934,0.5130102681278461,0.39469004670726554,0.753456988786679,0.03247050215890351,0.23282562254272507,0.504567944850633,0.8880604750065415,0.607676207595934,0.7975245383668167,0.8439848095635356,COMPLETE
28,-inf,2026-08-26 03:40:47.405989,2026-08-26 03:40:47.679670,0 days 00:00:00.273681,0.24297882660752576,0.077230397527841,0.366479527201297,0.710819824039636,1.8335989739354224,0.09732876894785511,sqrt,0.9155491621183889,0.628159706610826,0.11117879068273778,0.6700924879218038,0.9282748060894412,0.012984414858462925,0.35119776569695577,0.38594753359251494,0.9896142632534137,0.889139687816733,0.9365553190299056,0.6781103088401098,COMPLETE
29,-inf,2026-08-26 03:40:47.694476,2026-08-26 03:40:47.960686,0 days 00:00:00.266210,0.3786115349217055,0.17627368076306515,0.5766071032556754,0.8213954042847238,1.2647382114245875,0.03681001857802805,cosine,0.5291573873004554,0.2720302474403191,0.31202029492401295,0.7968922014773726,0.668110136780745,0.10774768889895965,0.21298730787972459,0.70470135964258,0.6946505937064945,0.7456709558259248,0.6844822578094728,0.30774361534075,COMPLETE
30,-inf,2026-08-26 03:40:47.975019,2026-08-26 03:40:48.276458,0 days 00:00:00.301439,0.3581807979334829,0.015704726627209745,0.6611662391655769,0.40398254937841294,1.1129900609825993,0.032067323924517804,cosine,0.778313436752653,0.558717944502208,0.39511194057466664,0.7459520295438893,0.556929794924132,0.23562048506671898,0.23636890702069352,0.22154451476545298,0.7965433920824676,0.7738799147194461,0.6137582672906056,0.42955933365720317,COMPLETE
31,-inf,2026-08-26 03:40:48.298673,2026-08-26 03:40:48.626401,0 days 00:00:00.327728,0.4412377543127093,0.719159299077296,0.7648751285561857,0.7641523205111653,1.5879605476018863,0.04158882773905421,cosine,0.5799686453844353,0.4595931747050286,0.5642235420370332,0.5897810417888456,0.6539835652416703,0.5572876587118734,0.10090271905229813,0.8123531077447742,0.8782189135574023,0.012858859815252532,0.46257981923347347,0.25190289884400463,COMPLETE
32,-inf,2026-08-26 03:40:48.640936,2026-08-26 03:40:48.903712,0 days 00:00:00.262776,0.09236866478249695,0.9846159531173548,0.4296020908219555,0.8062721438077701,1.226469498584628,0.0667322741667792,cosine,0.6948981381089447,0.30610345799370675,0.6165164251830126,1.21394166146775,0.7032347778721969,0.6178091902217537,0.14005821595783363,0.6476527620487019,0.7099208269647574,0.1271228643414167,0.5760702726762337,0.017434350324052328,COMPLETE
33,-inf,2026-08-26 03:40:48.918271,2026-08-26 03:40:49.176209,0 days 00:00:00.257938,0.5080071479866692,0.821689915085017,0.11062392072505928,0.7722018168718242,1.307988121673543,0.023815757528058742,cosine,0.712302232932468,0.17695615141089116,0.6417848430413767,0.7760867591483034,0.7986341479251128,0.6565981774386015,0.3043793110226535,0.7842496233144816,0.819604571196209,0.1871677275800918,0.49043851071111294,0.26671390754133895,COMPLETE
34,-inf,2026-08-26 03:40:49.190806,2026-08-26 03:40:49.452261,0 days 00:00:00.261455,0.34231224950330785,0.6446379959705582,0.20823160344037328,0.9297977273194498,1.0958943071463447,0.07882364191037226,cosine,0.5997470164786907,0.250497342652465,0.48989229020391095,0.8858889102241337,0.6477021922725255,0.734844271583031,0.1689112913003044,0.5792929124319159,0.9167943926210009,0.3136085631021646,0.44075539283389265,0.37893796446688144,COMPLETE
