K,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
5,mclp_place,ahc_place,10,16.0,0.275390625,-0.046739877313370724,-0.41818181818181815,-0.10856556717444327,0.02555100829617625,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,ga_place,10,17.0,0.322265625,-0.016316472051698318,-0.38181818181818183,-0.05999509431946523,0.015275869470548065,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,gwo_place,10,17.0,0.322265625,-0.024376017099744927,-0.38181818181818183,-0.06450269713022043,0.0005352991834451883,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,centroid_place,10,17.0,0.322265625,-0.04109536402859969,-0.38181818181818183,-0.09240903856484493,0.003940575171693857,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,centroid_place,10,18.0,0.375,-0.015116505584232087,-0.34545454545454546,-0.05930378672712524,0.020417354706893008,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,ahc_place,10,18.0,0.375,0.016729021981776893,0.34545454545454546,-0.03611522016925029,0.06478752612082876,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,ahc_place,10,18.0,0.375,-0.02390081942599064,-0.34545454545454546,-0.06390211601123498,0.000906208925141605,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,hfl_static,10,18.0,0.375,-0.015756361722271663,-0.34545454545454546,-0.05684422114071133,0.012953360182460039,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,random_place,10,18.0,0.375,-0.0038083793240765275,-0.34545454545454546,-0.05354472653018376,0.04228356645992545,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,flat_fl,10,21.0,0.556640625,0.015171511271189275,0.23636363636363636,-0.029809715102592105,0.05431163394711719,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,moon2022,10,21.0,0.556640625,0.02347639071529344,0.23636363636363636,-0.03356411521047481,0.08269132771761424,False,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,ahc_place,10,22.0,0.625,0.02295089999709391,0.2,-0.0071875755374357945,0.05573171812686279,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,de_place,10,23.0,0.6953125,-0.01929786019179096,-0.16363636363636364,-0.06060568935759288,0.007801538677703466,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,random_place,10,23.0,0.6953125,-0.018438804436635203,-0.16363636363636364,-0.06092619718962771,0.010688460097144052,False,group,mclp_place,accuracy,wilcoxon,holm
5,mclp_place,hfl_static,10,25.0,0.845703125,-0.005428283525027921,-0.09090909090909091,-0.06510808082126145,0.05694225252674525,False,group,mclp_place,accuracy,wilcoxon,holm
10,mclp_place,ga_place,10,26.0,0.921875,0.026609192902953292,0.05454545454545454,-0.050996326823243475,0.11294023417174867,False,group,mclp_place,accuracy,wilcoxon,holm
15,mclp_place,hfl_static,10,26.0,0.921875,0.04094344931127127,0.05454545454545454,-0.030570140441061676,0.11314273159186419,False,group,mclp_place,accuracy,wilcoxon,holm
30,mclp_place,spiral_place,10,26.0,0.921875,0.007924076923233714,-0.05454545454545454,-0.04813094106515548,0.06282339633318954,False,group,mclp_place,accuracy,wilcoxon,holm
20,mclp_place,hfl_static,10,27.0,1.0,0.024038132420182934,0.01818181818181818,-0.014055265789244348,0.07312990813874433,False,group,mclp_place,accuracy,wilcoxon,holm
