harness,method,N,seed_idx,seed,partition_seed
selection_sweep,fedcs,350,3,44483,5312
selection_sweep,fedcs,350,4,52402,5313
selection_sweep,fedcs,350,5,60321,5314
selection_sweep,fedcs,350,6,68240,5315
selection_sweep,fedcs,350,7,76159,5316
selection_sweep,fedcs,350,8,84078,5317
selection_sweep,fedcs,350,9,91997,5318
selection_sweep,rep_cap,350,0,20726,5309
selection_sweep,rep_cap,350,1,28645,5310
selection_sweep,rep_cap,350,2,36564,5311
selection_sweep,rep_cap,350,3,44483,5312
selection_sweep,rep_cap,350,4,52402,5313
selection_sweep,rep_cap,350,5,60321,5314
selection_sweep,rep_cap,350,6,68240,5315
selection_sweep,rep_cap,350,7,76159,5316
selection_sweep,rep_cap,350,8,84078,5317
selection_sweep,rep_cap,350,9,91997,5318
selection_sweep,fair_mab,350,0,20726,5309
selection_sweep,fair_mab,350,1,28645,5310
selection_sweep,fair_mab,350,2,36564,5311
selection_sweep,fair_mab,350,3,44483,5312
selection_sweep,fair_mab,350,4,52402,5313
selection_sweep,fair_mab,350,5,60321,5314
selection_sweep,fair_mab,350,6,68240,5315
selection_sweep,fair_mab,350,7,76159,5316
selection_sweep,fair_mab,350,8,84078,5317
selection_sweep,fair_mab,350,9,91997,5318
selection_sweep,oort,350,0,20726,5309
selection_sweep,oort,350,1,28645,5310
selection_sweep,oort,350,2,36564,5311
selection_sweep,oort,350,3,44483,5312
selection_sweep,oort,350,4,52402,5313
selection_sweep,oort,350,5,60321,5314
selection_sweep,oort,350,6,68240,5315
selection_sweep,oort,350,7,76159,5316
selection_sweep,oort,350,8,84078,5317
selection_sweep,oort,350,9,91997,5318
selection_sweep,power_of_choice,350,0,20726,5309
selection_sweep,power_of_choice,350,1,28645,5310
selection_sweep,power_of_choice,350,2,36564,5311
selection_sweep,power_of_choice,350,3,44483,5312
selection_sweep,power_of_choice,350,4,52402,5313
selection_sweep,power_of_choice,350,5,60321,5314
selection_sweep,power_of_choice,350,6,68240,5315
selection_sweep,power_of_choice,350,7,76159,5316
selection_sweep,power_of_choice,350,8,84078,5317
selection_sweep,power_of_choice,350,9,91997,5318
selection_sweep,ucb,500,0,25376,5309
selection_sweep,ucb,500,1,33295,5310
