N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
100,ucb,oort,10,15.0,0.232421875,-0.012040581977491948,-0.45454545454545453,-0.02540574325038538,0.0003534337894703813,False,group,ucb,accuracy,wilcoxon,holm
30,ucb,power_of_choice,10,15.0,0.232421875,-0.007900980736118413,-0.45454545454545453,-0.020784704373240714,0.0029619283553453785,False,group,ucb,accuracy,wilcoxon,holm
500,ucb,random,10,16.0,0.275390625,-0.01675832507221654,-0.41818181818181815,-0.038630137244477024,0.005911582167113944,False,group,ucb,accuracy,wilcoxon,holm
100,ucb,fair_mab,10,17.0,0.322265625,0.003264219479396047,0.38181818181818183,-0.003003388006195551,0.008931176978074785,False,group,ucb,accuracy,wilcoxon,holm
350,ucb,fair_mab,10,18.0,0.375,0.012346756740529452,0.34545454545454546,-0.006721835844829582,0.03424591056031512,False,group,ucb,accuracy,wilcoxon,holm
200,ucb,rep_cap,10,18.0,0.375,0.006784026237842566,0.34545454545454546,-0.004725800010508068,0.01959997317181616,False,group,ucb,accuracy,wilcoxon,holm
100,ucb,power_of_choice,10,18.0,0.375,-0.009308773907956059,-0.34545454545454546,-0.022356698468691226,0.0030821800765808514,False,group,ucb,accuracy,wilcoxon,holm
50,ucb,power_of_choice,10,18.0,0.375,-0.003969583410395505,-0.34545454545454546,-0.011420949272226838,0.0033943556491867403,False,group,ucb,accuracy,wilcoxon,holm
30,ucb,fair_mab,10,19.0,0.431640625,-0.0031886731110889687,-0.3090909090909091,-0.010156682282061404,0.003810136272230361,False,group,ucb,accuracy,wilcoxon,holm
50,ucb,oort,10,19.0,0.431640625,-0.00477013117873305,-0.3090909090909091,-0.01164556956224427,0.0014478800539009286,False,group,ucb,accuracy,wilcoxon,holm
30,ucb,rep_cap,10,20.0,0.4921875,-0.0028098796436382576,-0.2727272727272727,-0.010230457866159857,0.0048513241534536705,False,group,ucb,accuracy,wilcoxon,holm
30,ucb,oort,10,20.0,0.4921875,-0.0046545935992601374,-0.2727272727272727,-0.014939080474115834,0.004634218652049092,False,group,ucb,accuracy,wilcoxon,holm
200,ucb,random,10,20.0,0.4921875,0.0064086912876009875,0.2727272727272727,-0.00410260757902135,0.01906858865440831,False,group,ucb,accuracy,wilcoxon,holm
30,ucb,fedcs,10,23.0,0.6953125,-0.0032149280507555943,-0.16363636363636364,-0.011203630765950727,0.0038152071039522692,False,group,ucb,accuracy,wilcoxon,holm
30,ucb,random,10,24.0,0.76953125,0.0009213301665070617,0.12727272727272726,-0.006212692591555869,0.007909456851283591,False,group,ucb,accuracy,wilcoxon,holm
200,ucb,fair_mab,10,24.0,0.76953125,0.00414157301741831,0.12727272727272726,-0.00502603884174501,0.01583428785340562,False,group,ucb,accuracy,wilcoxon,holm
100,ucb,rep_cap,10,24.0,0.76953125,0.0004561618580153692,-0.12727272727272726,-0.0040035794778808835,0.005584800060040024,False,group,ucb,accuracy,wilcoxon,holm
50,ucb,rep_cap,10,25.0,0.845703125,0.0004278350159907962,0.09090909090909091,-0.00445725476808438,0.005082020987644386,False,group,ucb,accuracy,wilcoxon,holm
50,ucb,fair_mab,10,25.0,0.845703125,-0.000536595869413381,-0.09090909090909091,-0.006866786330212032,0.006607387118296952,False,group,ucb,accuracy,wilcoxon,holm
200,ucb,oort,10,25.0,0.845703125,0.0021936666663328495,0.09090909090909091,-0.008550350803476962,0.013937526179485087,False,group,ucb,accuracy,wilcoxon,holm
