dropout_rate,snr_degradation_db,black_chip_rate,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
0.0,0.0,0.05,proposed_hfl,alzenad2017,16,46.0,0.274444580078125,-0.004625507396748003,-0.3235294117647059,-0.015227002266270403,0.006553542928350579,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,6.0,0.0,proposed_hfl,mozaffari2016,16,49.0,0.348388671875,0.008502252193991047,0.27941176470588236,-0.006280342769633672,0.023878530501560667,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,alzenad2017,16,49.0,0.348388671875,-0.0032569177253849828,-0.27941176470588236,-0.013577124554874703,0.007941558125123756,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.1,proposed_hfl,fair_mab,16,50.0,0.375457763671875,0.007948511718338488,0.2647058823529412,-0.008189560179857648,0.02381099425803861,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,0.0,0.2,proposed_hfl,mozaffari2016,16,50.0,0.375457763671875,0.005780766119252361,0.2647058823529412,-0.006821076638918801,0.018475583986568806,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.2,0.0,0.0,proposed_hfl,mozaffari2016,16,51.0,0.40374755859375,-0.0035888564943818563,-0.25,-0.014118698388984571,0.007452135375078957,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.4,0.0,0.0,proposed_hfl,alzenad2017,16,52.0,0.433197021484375,0.003552028354476912,0.23529411764705882,-0.005173573145608947,0.012212009312908289,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,3.0,0.0,proposed_hfl,alzenad2017,16,54.0,0.49542236328125,-0.002748632953831532,-0.20588235294117646,-0.013906533144189935,0.00941597577985118,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.0,10.0,0.0,proposed_hfl,hfl_no_selection,16,55.0,0.528167724609375,0.009891905709796037,0.19117647058823528,-0.019140193275854596,0.0373336247648393,False,group,proposed_hfl,macro_f1,wilcoxon,holm
0.3,0.0,0.0,proposed_hfl,alzenad2017,16,56.0,0.5618896484375,0.0025000203985927998,0.17647058823529413,-0.014730668039553509,0.01831816653747948,False,group,proposed_hfl,macro_f1,wilcoxon,holm
