N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
200,fedcs,hfl_static,10,1.0,0.00390625,-0.024260913635731195,-0.9636363636363636,-0.03235535413170633,-0.015265447234193553,False,accuracy,wilcoxon,holm
200,alzenad2017,fedcs,10,1.0,0.00390625,0.026010267800832043,0.9636363636363636,0.015832124597751497,0.034797859809212114,False,accuracy,wilcoxon,holm
100,power_of_choice,proposed_hfl,10,1.0,0.00390625,-0.01681190900449232,-0.9636363636363636,-0.02358052268019062,-0.009223583445270356,False,accuracy,wilcoxon,holm
100,alzenad2017,rep_cap,10,1.0,0.00390625,0.012625653463661967,0.9636363636363636,0.007619098931646545,0.017648460444355887,False,accuracy,wilcoxon,holm
100,alzenad2017,centralized,10,1.0,0.00390625,-0.01235193788969514,-0.9636363636363636,-0.016683868118021493,-0.007674779462369208,False,accuracy,wilcoxon,holm
200,fedcs,mozaffari2016,10,1.0,0.00390625,-0.018017672628258884,-0.9636363636363636,-0.026097875269282908,-0.01028946879425722,False,accuracy,wilcoxon,holm
100,fedcs,power_of_choice,10,1.0,0.00390625,0.016099108081564572,0.9636363636363636,0.010229374777860933,0.022176009419517036,False,accuracy,wilcoxon,holm
200,fedcs,power_of_choice,10,1.0,0.00390625,-0.015790461823248902,-0.9636363636363636,-0.0218900369180908,-0.009829579692861279,False,accuracy,wilcoxon,holm
200,fair_mab,flat_fl,10,2.0,0.005859375,-0.0066181142054867696,-0.9272727272727272,-0.011236377020230583,-0.0026295294208104345,False,accuracy,wilcoxon,holm
30,centralized,hfl_no_selection,10,2.0,0.005859375,0.019633179409288225,0.9272727272727272,0.007824175564156682,0.0337303055480373,False,accuracy,wilcoxon,holm
30,centralized,hfl_static,10,2.0,0.005859375,0.019989299911714463,0.9272727272727272,0.010211189725411102,0.030080004028194704,False,accuracy,wilcoxon,holm
200,fair_mab,fedcs,10,2.0,0.005859375,0.02098281560129155,0.9272727272727272,0.01125870509438633,0.029069374092906195,False,accuracy,wilcoxon,holm
50,centralized,hfl_no_reputation,10,2.0,0.005859375,0.012048753460074979,0.9272727272727272,0.00688051187536647,0.0164033064004056,False,accuracy,wilcoxon,holm
100,fedcs,flat_fl,10,3.0,0.009765625,0.010416911344250702,0.8909090909090909,0.004736953754714436,0.01621547047981855,False,accuracy,wilcoxon,holm
100,fair_mab,proposed_hfl,10,3.0,0.009765625,-0.012671248005160396,-0.8909090909090909,-0.019905752117605452,-0.005768579374319159,False,accuracy,wilcoxon,holm
200,flat_fl,hfl_no_reputation,10,3.0,0.009765625,0.00927074730304923,0.8909090909090909,0.004788763296545393,0.013612475207715921,False,accuracy,wilcoxon,holm
100,hfl_no_reputation,power_of_choice,10,3.0,0.009765625,0.010870255854147947,0.8909090909090909,0.00434729798267819,0.018376840473672967,False,accuracy,wilcoxon,holm
200,hfl_static,power_of_choice,10,3.0,0.009765625,0.008470451812482294,0.8909090909090909,0.004642751699705331,0.011705455608082536,False,accuracy,wilcoxon,holm
50,mozaffari2016,power_of_choice,10,3.0,0.009765625,0.018774632080547506,0.8909090909090909,0.007809707500702649,0.03029662357317134,False,accuracy,wilcoxon,holm
50,oort,power_of_choice,10,3.0,0.009765625,0.014900840344398914,0.8909090909090909,0.007265978990007067,0.021629938707801947,False,accuracy,wilcoxon,holm
100,alzenad2017,flat_fl,10,3.0,0.009765625,0.011290114887547397,0.8909090909090909,0.005977976323133089,0.016155019303917648,False,accuracy,wilcoxon,holm
200,alzenad2017,power_of_choice,10,3.0,0.009765625,0.010219805977583141,0.8909090909090909,0.004952119190762981,0.015143768229326093,False,accuracy,wilcoxon,holm
100,mozaffari2016,oort,10,3.0,0.009765625,0.013402239164201347,0.8909090909090909,0.006967158333014732,0.019516202508209384,False,accuracy,wilcoxon,holm
200,hfl_static,rep_cap,10,3.0,0.009765625,0.010357503803272505,0.8909090909090909,0.005074736007478278,0.015901038283431843,False,accuracy,wilcoxon,holm
50,flat_fl,mozaffari2016,10,3.0,0.009765625,-0.013096170411222362,-0.8909090909090909,-0.020007212758159646,-0.006943358336537946,False,accuracy,wilcoxon,holm
100,fedcs,rep_cap,10,3.0,0.009765625,0.011752449920365272,0.8909090909090909,0.006633210452619304,0.016866979781329918,False,accuracy,wilcoxon,holm
100,proposed_hfl,rep_cap,10,4.0,0.013671875,0.01246525084329302,0.8545454545454545,0.005836539006587581,0.01867276459219303,False,accuracy,wilcoxon,holm
50,centralized,hfl_no_selection,10,4.0,0.013671875,0.025712604605733456,0.8545454545454545,0.011390274337928927,0.039404909799665135,False,accuracy,wilcoxon,holm
200,flat_fl,mozaffari2016,10,4.0,0.013671875,0.009583257178519433,0.8545454545454545,0.004505345601047648,0.013526592813935942,False,accuracy,wilcoxon,holm
50,hfl_no_reputation,power_of_choice,10,4.0,0.013671875,0.016170659215583683,0.8545454545454545,0.007276379866826537,0.025151188350680993,False,accuracy,wilcoxon,holm
200,hfl_static,oort,10,4.0,0.013671875,0.007289903455687108,0.8545454545454545,0.002967366335110438,0.011480691976679587,False,accuracy,wilcoxon,holm
200,flat_fl,proposed_hfl,10,4.0,0.013671875,0.005134595738678804,0.8545454545454545,0.002341557739212389,0.007800624064791558,False,accuracy,wilcoxon,holm
200,fedcs,rep_cap,10,4.0,0.013671875,-0.01390340983245869,-0.8545454545454545,-0.021218164381759438,-0.006163112087371901,False,accuracy,wilcoxon,holm
30,centralized,proposed_hfl,10,4.0,0.013671875,0.010192357163726806,0.8545454545454545,0.004167614075365489,0.01718363006340759,False,accuracy,wilcoxon,holm
100,hfl_no_selection,oort,10,4.0,0.013671875,0.013662984568255099,0.8545454545454545,0.0063268284751418135,0.020149172595919775,False,accuracy,wilcoxon,holm
100,mozaffari2016,rep_cap,10,5.0,0.01953125,0.007485280974456032,0.8181818181818182,0.002726817615819659,0.01232122682926222,False,accuracy,wilcoxon,holm
50,power_of_choice,rep_cap,10,5.0,0.01953125,-0.01741599243861528,-0.8181818181818182,-0.029424296990136847,-0.005544562487917446,False,accuracy,wilcoxon,holm
50,fedcs,oort,10,5.0,0.01953125,0.011955952348026688,0.8181818181818182,0.004043386970257229,0.019189089806770282,False,accuracy,wilcoxon,holm
50,centralized,fair_mab,10,5.0,0.01953125,0.016480374089863713,0.8181818181818182,0.006055541602526775,0.027032803669235612,False,accuracy,wilcoxon,holm
30,alzenad2017,centralized,10,5.0,0.01953125,-0.011526025290946106,-0.8181818181818182,-0.017198494363363247,-0.005453373720520604,False,accuracy,wilcoxon,holm
50,power_of_choice,proposed_hfl,10,5.0,0.01953125,-0.016070947749253873,-0.8181818181818182,-0.02386635049287475,-0.006373402535250096,False,accuracy,wilcoxon,holm
200,alzenad2017,rep_cap,10,5.0,0.01953125,0.012106857968373352,0.8181818181818182,0.004748945070175609,0.019035883537448704,False,accuracy,wilcoxon,holm
100,fair_mab,oort,10,6.0,0.02734375,0.005710961027877937,0.7818181818181819,0.001487533211941655,0.00950145781375247,False,accuracy,wilcoxon,holm
100,fair_mab,hfl_no_reputation,10,6.0,0.02734375,-0.006729594854816024,-0.7818181818181819,-0.010681158177380997,-0.0019783337197478157,False,accuracy,wilcoxon,holm
200,fair_mab,hfl_no_selection,10,6.0,0.02734375,0.008681465723838511,0.7818181818181819,0.0032826112884275904,0.01429563043320825,False,accuracy,wilcoxon,holm
200,fedcs,hfl_no_selection,10,6.0,0.02734375,-0.012301349877453039,-0.7818181818181819,-0.019788516622311392,-0.0043257526615108,False,accuracy,wilcoxon,holm
50,hfl_no_selection,mozaffari2016,10,7.0,0.037109375,-0.016267824010622302,-0.7454545454545455,-0.029163228905584582,-0.0029740239195503236,False,accuracy,wilcoxon,holm
200,proposed_hfl,rep_cap,10,7.0,0.037109375,0.008562924235640822,0.7454545454545455,0.0023893720773931104,0.01463324559968162,False,accuracy,wilcoxon,holm
100,mozaffari2016,power_of_choice,10,7.0,0.037109375,0.011831939135655334,0.7454545454545455,0.003355898116883765,0.02079077730480114,False,accuracy,wilcoxon,holm
50,centralized,oort,10,7.0,0.037109375,0.013318572331259748,0.7454545454545455,0.0035854708666458713,0.024297800931267575,False,accuracy,wilcoxon,holm
100,flat_fl,proposed_hfl,10,7.0,0.037109375,-0.01112971226717845,-0.7454545454545455,-0.019144138126237213,-0.002955332312431274,False,accuracy,wilcoxon,holm
100,flat_fl,oort,10,7.0,0.037109375,0.007252496765859884,0.7454545454545455,0.0021432950753645817,0.012859107003992364,False,accuracy,wilcoxon,holm
30,hfl_static,oort,10,7.0,0.037109375,-0.016471985643461872,-0.7454545454545455,-0.03032717351157974,-0.003546967544757086,False,accuracy,wilcoxon,holm
50,fedcs,hfl_no_selection,10,7.0,0.037109375,0.024349984622500397,0.7454545454545455,0.004862312992162208,0.043091979961307016,False,accuracy,wilcoxon,holm
200,fair_mab,rep_cap,10,8.0,0.048828125,0.007079405768832858,0.7090909090909091,0.0018989842640155987,0.012327676920983677,False,accuracy,wilcoxon,holm
100,fair_mab,hfl_static,10,8.0,0.048828125,-0.005691508702421677,-0.7090909090909091,-0.011783675506704816,0.0008804130525101172,False,accuracy,wilcoxon,holm
30,centralized,fedcs,10,8.0,0.048828125,0.01401408073426531,0.7090909090909091,0.0023078641996295813,0.026275741320290286,False,accuracy,wilcoxon,holm
50,fedcs,flat_fl,10,8.0,0.048828125,0.02117833102310046,0.7090909090909091,0.0067133422935166335,0.036302973368402325,False,accuracy,wilcoxon,holm
30,centralized,hfl_no_reputation,10,8.0,0.048828125,0.008452483968655056,0.7090909090909091,0.0019241295749535525,0.016060828120864155,False,accuracy,wilcoxon,holm
50,alzenad2017,fedcs,10,8.0,0.048828125,-0.015880651485582688,-0.7090909090909091,-0.030650358254601856,-0.0030687504544599023,False,accuracy,wilcoxon,holm
50,fedcs,hfl_static,10,8.0,0.048828125,0.021238099646193775,0.7090909090909091,0.004695283532497956,0.0390695510827783,False,accuracy,wilcoxon,holm
100,hfl_no_selection,power_of_choice,10,8.0,0.048828125,0.012092684539709086,0.7090909090909091,0.003226643522280324,0.020733125265349633,False,accuracy,wilcoxon,holm
100,hfl_static,proposed_hfl,10,8.0,0.048828125,-0.006979739302738719,-0.7090909090909091,-0.012806626580875004,-0.0010763794397562099,False,accuracy,wilcoxon,holm
200,alzenad2017,oort,10,8.0,0.048828125,0.009039257620787954,0.7090909090909091,0.0022695205096386296,0.01524657057977976,False,accuracy,wilcoxon,holm
30,hfl_no_reputation,hfl_static,10,9.0,0.064453125,0.011536815943059409,0.6727272727272727,0.0010666612035475339,0.022582501991851824,False,accuracy,wilcoxon,holm
100,alzenad2017,hfl_no_reputation,10,9.0,0.064453125,0.006102055770713322,0.6727272727272727,3.27538094757254e-05,0.011876990503242105,False,accuracy,wilcoxon,holm
200,mozaffari2016,rep_cap,10,9.0,0.064453125,0.0041142627958001944,0.6727272727272727,0.0003763097759366709,0.007941720245975592,False,accuracy,wilcoxon,holm
100,hfl_static,power_of_choice,10,9.0,0.064453125,0.009832169701753601,0.6727272727272727,0.0012798025088847237,0.018121064156399434,False,accuracy,wilcoxon,holm
50,hfl_static,proposed_hfl,10,9.0,0.064453125,-0.010452254703022046,-0.6727272727272727,-0.023046439113872066,0.002877198437122952,False,accuracy,wilcoxon,holm
100,flat_fl,mozaffari2016,10,9.0,0.064453125,-0.006149742398341462,-0.6727272727272727,-0.011270491223539009,-0.0006924263911951836,False,accuracy,wilcoxon,holm
200,hfl_no_reputation,hfl_static,10,9.0,0.064453125,-0.00593073113200211,-0.6727272727272727,-0.011494092704018553,-0.0010923393183075592,False,accuracy,wilcoxon,holm
100,hfl_no_reputation,rep_cap,10,9.0,0.064453125,0.006523597692948646,0.6727272727272727,0.0010563521585970736,0.012353724389599644,False,accuracy,wilcoxon,holm
50,flat_fl,proposed_hfl,10,9.0,0.064453125,-0.010392486079928731,-0.6727272727272727,-0.02070463630358633,-0.00010831071920294832,False,accuracy,wilcoxon,holm
30,flat_fl,hfl_static,10,10.0,0.083984375,0.015139003725138222,0.6363636363636364,0.0035103376759010076,0.027162543402827272,False,accuracy,wilcoxon,holm
100,fair_mab,mozaffari2016,10,10.0,0.083984375,-0.007691278136323409,-0.6363636363636364,-0.014405764646619478,-0.0013174833417737173,False,accuracy,wilcoxon,holm
50,centralized,rep_cap,10,10.0,0.083984375,0.010803420237043383,0.6363636363636364,0.000951646283943749,0.020328046270233203,False,accuracy,wilcoxon,holm
200,alzenad2017,mozaffari2016,10,10.0,0.083984375,0.007992595172573159,0.6363636363636364,0.0011343606387509621,0.014575640503622478,False,accuracy,wilcoxon,holm
