N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,metric,test,correction
350,random,ucb,10,9.0,0.064453125,0.008135254528405262,0.6727272727272727,0.00252740620841728,0.013548434459687092,False,macro_f1,wilcoxon,holm
350,fair_mab,rep_cap,10,9.0,0.064453125,-0.00983355675307257,-0.6727272727272727,-0.018972940933914613,-2.7257660065746432e-05,False,macro_f1,wilcoxon,holm
200,power_of_choice,rep_cap,10,9.0,0.064453125,0.010992864247465988,0.6727272727272727,0.00141195201995617,0.021029477316763343,False,macro_f1,wilcoxon,holm
500,fedcs,rep_cap,10,10.0,0.083984375,0.016451095834688054,0.6363636363636364,0.004369097665063037,0.028267711459260405,False,macro_f1,wilcoxon,holm
500,random,ucb,10,10.0,0.083984375,0.01704308798693452,0.6363636363636364,0.002921970648657384,0.03303774701125652,False,macro_f1,wilcoxon,holm
50,random,ucb,10,10.0,0.083984375,-0.008764274688602441,-0.6363636363636364,-0.018289868455387277,-0.00027368301530769146,False,macro_f1,wilcoxon,holm
50,fedcs,ucb,10,10.0,0.083984375,-0.013437256850735746,-0.6363636363636364,-0.026110783911237504,-0.001188755226648595,False,macro_f1,wilcoxon,holm
30,oort,ucb,10,10.0,0.083984375,0.010602401702038227,0.6363636363636364,0.0008784318148142348,0.022510723627522617,False,macro_f1,wilcoxon,holm
500,fair_mab,random,10,11.0,0.10546875,-0.01823631432266311,-0.6,-0.03466732707077431,-0.002366365555436023,False,macro_f1,wilcoxon,holm
30,oort,random,10,11.0,0.10546875,0.015546213584420649,0.6,0.0015790301348060495,0.030945816700617523,False,macro_f1,wilcoxon,holm
30,random,rep_cap,10,11.0,0.10546875,-0.00846523178718206,-0.6,-0.016228659096068264,-0.000510986590087302,False,macro_f1,wilcoxon,holm
100,oort,power_of_choice,10,12.0,0.130859375,0.008069589730783738,0.5636363636363636,-0.003051469155655376,0.018557194615925417,False,macro_f1,wilcoxon,holm
200,fair_mab,random,10,12.0,0.130859375,0.011382021831500827,0.5636363636363636,0.0013225248184323306,0.020966686694518715,False,macro_f1,wilcoxon,holm
50,fedcs,rep_cap,10,12.0,0.130859375,-0.009214242993028731,-0.5636363636363636,-0.018674131316409208,0.0006247079782643134,False,macro_f1,wilcoxon,holm
30,power_of_choice,random,10,13.0,0.16015625,0.014153329048031616,0.5272727272727272,-0.0010311994946067206,0.030612114769849433,False,macro_f1,wilcoxon,holm
200,oort,rep_cap,10,14.0,0.193359375,0.009091652609970741,0.4909090909090909,-0.003737125821119645,0.02062134240020759,False,macro_f1,wilcoxon,holm
50,oort,rep_cap,10,14.0,0.193359375,0.012705230451451405,0.4909090909090909,-0.00024442847271774774,0.027759463377525377,False,macro_f1,wilcoxon,holm
50,power_of_choice,ucb,10,14.0,0.193359375,0.013106129459622261,0.4909090909090909,-7.973860956505701e-05,0.027489223868436694,False,macro_f1,wilcoxon,holm
500,fedcs,random,10,14.0,0.193359375,0.01549493814771257,0.4909090909090909,-0.0018692522791873398,0.032575080098933035,False,macro_f1,wilcoxon,holm
350,fair_mab,ucb,10,15.0,0.232421875,-0.0057519991877555575,-0.45454545454545453,-0.011982759825772385,0.00011113884256926983,False,macro_f1,wilcoxon,holm
50,fedcs,random,10,15.0,0.232421875,-0.004672982162133304,-0.45454545454545453,-0.011504555428049597,0.0019471109230422513,False,macro_f1,wilcoxon,holm
30,fedcs,random,10,15.0,0.232421875,0.005498112668311378,0.45454545454545453,-0.0008365665498818081,0.012359050871265735,False,macro_f1,wilcoxon,holm
30,fair_mab,random,10,15.0,0.232421875,0.006139306920525856,0.45454545454545453,-0.0026348403177425526,0.014393371876668701,False,macro_f1,wilcoxon,holm
50,fair_mab,ucb,10,15.0,0.232421875,-0.0062024084257494005,-0.45454545454545453,-0.01260437777136255,0.00034771058547185724,False,macro_f1,wilcoxon,holm
50,random,rep_cap,10,16.0,0.275390625,-0.004541260830895427,-0.41818181818181815,-0.011261067063477277,0.001999602962891751,False,macro_f1,wilcoxon,holm
100,oort,ucb,10,16.0,0.275390625,0.015340219274811846,0.41818181818181815,-0.0037176545758952112,0.03558294716908056,False,macro_f1,wilcoxon,holm
200,fair_mab,ucb,10,16.0,0.275390625,-0.0057153431895775875,-0.41818181818181815,-0.013958400728004658,0.0025734237446871024,False,macro_f1,wilcoxon,holm
30,power_of_choice,ucb,10,16.0,0.275390625,0.009209517165649194,0.41818181818181815,-0.001459619987336407,0.021439164806638294,False,macro_f1,wilcoxon,holm
50,rep_cap,ucb,10,17.0,0.322265625,-0.004223013857707014,-0.38181818181818183,-0.011235052184979322,0.002141684136977846,False,macro_f1,wilcoxon,holm
100,fair_mab,oort,10,17.0,0.322265625,-0.011636833430666538,-0.38181818181818183,-0.030356204161400186,0.005051799532775921,False,macro_f1,wilcoxon,holm
200,power_of_choice,ucb,10,17.0,0.322265625,0.007952404347631791,0.38181818181818183,-0.0022987081346341294,0.019786045567584634,False,macro_f1,wilcoxon,holm
30,rep_cap,ucb,10,17.0,0.322265625,0.0035214199047996384,0.38181818181818183,-0.004721519345043827,0.010271548342228603,False,macro_f1,wilcoxon,holm
30,fair_mab,oort,10,17.0,0.322265625,-0.009406906663894793,-0.38181818181818183,-0.022870731958490414,0.0015737162297514542,False,macro_f1,wilcoxon,holm
30,random,ucb,10,18.0,0.375,-0.004943811882382421,-0.34545454545454546,-0.011478389860397141,0.002271616661522681,False,macro_f1,wilcoxon,holm
30,fedcs,oort,10,18.0,0.375,-0.01004810091610927,-0.34545454545454546,-0.024380758644070116,0.002949775327302666,False,macro_f1,wilcoxon,holm
50,fair_mab,fedcs,10,18.0,0.375,0.007234848424986345,0.34545454545454546,-0.003499150733861499,0.017749278977526473,False,macro_f1,wilcoxon,holm
100,oort,rep_cap,10,18.0,0.375,0.013814582837018497,0.34545454545454546,-0.005471729178868501,0.03486490279267667,False,macro_f1,wilcoxon,holm
500,fair_mab,ucb,10,19.0,0.431640625,-0.0011932263357285922,-0.3090909090909091,-0.0070036975492582445,0.005816787458782451,False,macro_f1,wilcoxon,holm
350,oort,power_of_choice,10,19.0,0.431640625,-0.005389023052364439,-0.3090909090909091,-0.014256671560836865,0.002195706936376063,False,macro_f1,wilcoxon,holm
350,fedcs,ucb,10,19.0,0.431640625,0.004582768777313162,0.3090909090909091,-0.005179786888393795,0.01339920749366339,False,macro_f1,wilcoxon,holm
100,fair_mab,ucb,10,19.0,0.431640625,0.003703385844145307,0.3090909090909091,-0.0038078543563571736,0.012228079588337161,False,macro_f1,wilcoxon,holm
350,rep_cap,ucb,10,20.0,0.4921875,0.004081557565317012,0.2727272727272727,-0.008216314973420404,0.016047602930636267,False,macro_f1,wilcoxon,holm
50,oort,power_of_choice,10,20.0,0.4921875,-0.004623912865877872,-0.2727272727272727,-0.014770430844094592,0.004004871814806113,False,macro_f1,wilcoxon,holm
30,fair_mab,power_of_choice,10,20.0,0.4921875,-0.00801402212750576,-0.2727272727272727,-0.023440630751136744,0.004310181065359229,False,macro_f1,wilcoxon,holm
50,fair_mab,rep_cap,10,20.0,0.4921875,-0.0019793945680423863,-0.2727272727272727,-0.006204801130249907,0.00170153016024275,False,macro_f1,wilcoxon,holm
100,fair_mab,rep_cap,10,20.0,0.4921875,0.0021777494063519587,0.2727272727272727,-0.004508373827224961,0.0092111883840353,False,macro_f1,wilcoxon,holm
30,fedcs,rep_cap,10,20.0,0.4921875,-0.0029671191188706814,-0.2727272727272727,-0.009786102086852738,0.0033287218406458804,False,macro_f1,wilcoxon,holm
200,oort,power_of_choice,10,20.0,0.4921875,-0.001901211637495248,-0.2727272727272727,-0.007981339686490325,0.004515913259222152,False,macro_f1,wilcoxon,holm
30,fair_mab,rep_cap,10,21.0,0.556640625,-0.002325924866656204,-0.23636363636363636,-0.007875437327562927,0.0032726346740648573,False,macro_f1,wilcoxon,holm
350,fedcs,random,10,21.0,0.556640625,-0.0035524857510920993,-0.23636363636363636,-0.012023374591171346,0.004614550499792382,False,macro_f1,wilcoxon,holm
30,fedcs,power_of_choice,10,22.0,0.625,-0.008655216379720238,-0.2,-0.02465669598788846,0.0052857426478058874,False,macro_f1,wilcoxon,holm
350,random,rep_cap,10,22.0,0.625,0.004053696963088249,0.2,-0.010309253908277066,0.017910680406127706,False,macro_f1,wilcoxon,holm
200,rep_cap,ucb,10,22.0,0.625,-0.003040459899834197,-0.2,-0.014017725415292892,0.007806572204980621,False,macro_f1,wilcoxon,holm
500,oort,power_of_choice,10,22.0,0.625,0.0030881581638132483,0.2,-0.003921747168669796,0.010587699572310452,False,macro_f1,wilcoxon,holm
350,fedcs,rep_cap,10,22.0,0.625,0.0005012112119961498,0.2,-0.010442637769707913,0.00958312935514457,False,macro_f1,wilcoxon,holm
200,fair_mab,rep_cap,10,23.0,0.6953125,-0.0026748832897433906,-0.16363636363636364,-0.013068755202383816,0.00667820575385575,False,macro_f1,wilcoxon,holm
30,fair_mab,ucb,10,23.0,0.6953125,0.0011954950381434348,0.16363636363636364,-0.004253106667140591,0.006347386932625205,False,macro_f1,wilcoxon,holm
100,power_of_choice,ucb,10,23.0,0.6953125,0.007270629544028106,0.16363636363636364,-0.012605971360892494,0.02838422163785486,False,macro_f1,wilcoxon,holm
100,power_of_choice,rep_cap,10,23.0,0.6953125,0.005744993106234758,0.16363636363636364,-0.0156750530134213,0.028344022158406517,False,macro_f1,wilcoxon,holm
30,oort,power_of_choice,10,23.0,0.6953125,0.001392884536389033,0.16363636363636364,-0.005839475630036713,0.008378958058703192,False,macro_f1,wilcoxon,holm
50,oort,ucb,10,24.0,0.76953125,0.008482216593744391,0.12727272727272726,-0.005465670235255826,0.024314512622005357,False,macro_f1,wilcoxon,holm
50,fair_mab,random,10,24.0,0.76953125,0.002561866262853041,0.12727272727272726,-0.004553855949635756,0.010310970492784415,False,macro_f1,wilcoxon,holm
100,rep_cap,ucb,10,24.0,0.76953125,0.0015256364377933484,0.12727272727272726,-0.00494807492790099,0.009116442832122745,False,macro_f1,wilcoxon,holm
30,fedcs,ucb,10,25.0,0.845703125,0.0005543007859289573,0.09090909090909091,-0.005139862893929012,0.00644149594774697,False,macro_f1,wilcoxon,holm
100,fedcs,random,10,25.0,0.845703125,-0.001198977606314533,-0.09090909090909091,-0.007403086499273848,0.004808552241038622,False,macro_f1,wilcoxon,holm
200,oort,ucb,10,25.0,0.845703125,0.006051192710136544,0.09090909090909091,-0.004789122236319239,0.019538602545922133,False,macro_f1,wilcoxon,holm
30,fair_mab,fedcs,10,26.0,0.921875,0.0006411942522144776,0.05454545454545454,-0.00519913865954862,0.006770087049117142,False,macro_f1,wilcoxon,holm
100,fair_mab,power_of_choice,10,26.0,0.921875,-0.0035672436998827996,-0.05454545454545454,-0.024517343749170428,0.015879521098493225,False,macro_f1,wilcoxon,holm
30,oort,rep_cap,10,26.0,0.921875,0.0070809817972385895,0.05454545454545454,-0.00713930220870982,0.02485220276895498,False,macro_f1,wilcoxon,holm
30,power_of_choice,rep_cap,10,26.0,0.921875,0.005688097260849556,-0.05454545454545454,-0.008575222172522521,0.024466987815373327,False,macro_f1,wilcoxon,holm
500,random,rep_cap,10,26.0,0.921875,0.000956157686975484,0.05454545454545454,-0.009401403179571987,0.011810006017792089,False,macro_f1,wilcoxon,holm
