N,method_a,method_b,n_pairs,statistic,p_value,mean_diff,significant,metric,test,correction
200,fedcs,power_of_choice,10,0.0,0.001953125,-0.04938431497988631,False,macro_f1,wilcoxon,holm
200,fedcs,oort,10,0.0,0.001953125,-0.05672320016516208,False,macro_f1,wilcoxon,holm
200,hfl_no_selection,mozaffari2016,10,0.0,0.001953125,-0.05458375993687938,False,macro_f1,wilcoxon,holm
50,hfl_no_reputation,oort,10,0.0,0.001953125,0.11656613519857381,False,macro_f1,wilcoxon,holm
30,hfl_no_reputation,power_of_choice,10,0.0,0.001953125,0.12379239166135507,False,macro_f1,wilcoxon,holm
100,hfl_no_reputation,oort,10,0.0,0.001953125,0.04290490570252701,False,macro_f1,wilcoxon,holm
100,hfl_no_reputation,power_of_choice,10,0.0,0.001953125,0.036767733565472624,False,macro_f1,wilcoxon,holm
50,hfl_no_reputation,power_of_choice,10,0.0,0.001953125,0.0999689754199681,False,macro_f1,wilcoxon,holm
100,hfl_no_reputation,rep_cap,10,0.0,0.001953125,0.06509573794236308,False,macro_f1,wilcoxon,holm
100,hfl_no_selection,hfl_static,10,0.0,0.001953125,-0.05556764930811424,False,macro_f1,wilcoxon,holm
30,hfl_no_reputation,rep_cap,10,0.0,0.001953125,0.12136255616747663,False,macro_f1,wilcoxon,holm
50,hfl_no_reputation,rep_cap,10,0.0,0.001953125,0.13301376798124467,False,macro_f1,wilcoxon,holm
200,hfl_no_selection,hfl_static,10,0.0,0.001953125,-0.06425686367869035,False,macro_f1,wilcoxon,holm
30,hfl_no_selection,mozaffari2016,10,0.0,0.001953125,-0.05254745748383929,False,macro_f1,wilcoxon,holm
100,hfl_no_selection,mozaffari2016,10,0.0,0.001953125,-0.05618600831470799,False,macro_f1,wilcoxon,holm
50,hfl_no_selection,mozaffari2016,10,0.0,0.001953125,-0.07871960988714914,False,macro_f1,wilcoxon,holm
30,fedcs,proposed_hfl,10,0.0,0.001953125,-0.06619582266813548,False,macro_f1,wilcoxon,holm
200,fedcs,mozaffari2016,10,0.0,0.001953125,-0.06169107285336182,False,macro_f1,wilcoxon,holm
100,fedcs,mozaffari2016,10,0.0,0.001953125,-0.0549775372245204,False,macro_f1,wilcoxon,holm
200,hfl_no_selection,oort,10,0.0,0.001953125,-0.04961588724867966,False,macro_f1,wilcoxon,holm
100,fedcs,hfl_static,10,0.0,0.001953125,-0.054359178217926664,False,macro_f1,wilcoxon,holm
30,hfl_no_selection,power_of_choice,10,0.0,0.001953125,0.07079344919080234,False,macro_f1,wilcoxon,holm
200,fedcs,hfl_static,10,0.0,0.001953125,-0.07136417659517277,False,macro_f1,wilcoxon,holm
30,fedcs,mozaffari2016,10,0.0,0.001953125,-0.06247434031850564,False,macro_f1,wilcoxon,holm
200,flat_fl,hfl_no_reputation,10,0.0,0.001953125,-0.18392603641145605,False,macro_f1,wilcoxon,holm
50,flat_fl,hfl_no_selection,10,0.0,0.001953125,-0.07930042019160302,False,macro_f1,wilcoxon,holm
100,flat_fl,hfl_no_selection,10,0.0,0.001953125,-0.0876891195899899,False,macro_f1,wilcoxon,holm
50,flat_fl,hfl_no_reputation,10,0.0,0.001953125,-0.15524950741304935,False,macro_f1,wilcoxon,holm
100,flat_fl,hfl_no_reputation,10,0.0,0.001953125,-0.148410559809388,False,macro_f1,wilcoxon,holm
50,fedcs,rep_cap,10,0.0,0.001953125,0.06073494441821099,False,macro_f1,wilcoxon,holm
200,fedcs,proposed_hfl,10,0.0,0.001953125,-0.0733111068547062,False,macro_f1,wilcoxon,holm
100,fedcs,proposed_hfl,10,0.0,0.001953125,-0.06982009556598327,False,macro_f1,wilcoxon,holm
50,power_of_choice,proposed_hfl,10,0.0,0.001953125,-0.0987851508216,False,macro_f1,wilcoxon,holm
30,mozaffari2016,power_of_choice,10,0.0,0.001953125,0.12334090667464162,False,macro_f1,wilcoxon,holm
50,mozaffari2016,power_of_choice,10,0.0,0.001953125,0.10273949808567091,False,macro_f1,wilcoxon,holm
30,mozaffari2016,rep_cap,10,0.0,0.001953125,0.12091107118076316,False,macro_f1,wilcoxon,holm
100,mozaffari2016,rep_cap,10,0.0,0.001953125,0.06056030603767295,False,macro_f1,wilcoxon,holm
200,alzenad2017,hfl_no_selection,10,0.0,0.001953125,0.06986925149155652,False,macro_f1,wilcoxon,holm
30,alzenad2017,oort,10,0.0,0.001953125,0.1469095177792943,False,macro_f1,wilcoxon,holm
100,alzenad2017,oort,10,0.0,0.001953125,0.05901585394347373,False,macro_f1,wilcoxon,holm
30,flat_fl,hfl_static,10,0.0,0.001953125,-0.058271893572164536,False,macro_f1,wilcoxon,holm
50,flat_fl,hfl_static,10,0.0,0.001953125,-0.13343264682648473,False,macro_f1,wilcoxon,holm
100,flat_fl,hfl_static,10,0.0,0.001953125,-0.14325676889810415,False,macro_f1,wilcoxon,holm
200,flat_fl,hfl_no_selection,10,0.0,0.001953125,-0.12338176248710224,False,macro_f1,wilcoxon,holm
200,flat_fl,hfl_static,10,0.0,0.001953125,-0.1876386261657926,False,macro_f1,wilcoxon,holm
100,flat_fl,mozaffari2016,10,0.0,0.001953125,-0.1438751279046979,False,macro_f1,wilcoxon,holm
50,flat_fl,mozaffari2016,10,0.0,0.001953125,-0.15802003007875215,False,macro_f1,wilcoxon,holm
30,flat_fl,mozaffari2016,10,0.0,0.001953125,-0.0747901131607485,False,macro_f1,wilcoxon,holm
200,flat_fl,proposed_hfl,10,0.0,0.001953125,-0.189585556425326,False,macro_f1,wilcoxon,holm
30,flat_fl,proposed_hfl,10,0.0,0.001953125,-0.07851159551037834,False,macro_f1,wilcoxon,holm
50,flat_fl,proposed_hfl,10,0.0,0.001953125,-0.15406568281468128,False,macro_f1,wilcoxon,holm
200,flat_fl,mozaffari2016,10,0.0,0.001953125,-0.17796552242398161,False,macro_f1,wilcoxon,holm
100,flat_fl,oort,10,0.0,0.001953125,-0.105505654106861,False,macro_f1,wilcoxon,holm
200,flat_fl,oort,10,0.0,0.001953125,-0.1729976497357819,False,macro_f1,wilcoxon,holm
100,flat_fl,power_of_choice,10,0.0,0.001953125,-0.11164282624391537,False,macro_f1,wilcoxon,holm
200,flat_fl,power_of_choice,10,0.0,0.001953125,-0.16565876455050615,False,macro_f1,wilcoxon,holm
200,flat_fl,rep_cap,10,0.0,0.001953125,-0.16107189358153787,False,macro_f1,wilcoxon,holm
100,flat_fl,rep_cap,10,0.0,0.001953125,-0.08331482186702492,False,macro_f1,wilcoxon,holm
100,flat_fl,proposed_hfl,10,0.0,0.001953125,-0.15871768624616076,False,macro_f1,wilcoxon,holm
100,alzenad2017,hfl_no_selection,10,0.0,0.001953125,0.07683238846034482,False,macro_f1,wilcoxon,holm
30,alzenad2017,hfl_no_selection,10,0.0,0.001953125,0.05952104482647631,False,macro_f1,wilcoxon,holm
200,hfl_no_reputation,hfl_no_selection,10,0.0,0.001953125,0.06054427392435381,False,macro_f1,wilcoxon,holm
100,hfl_no_reputation,hfl_no_selection,10,0.0,0.001953125,0.060721440219398105,False,macro_f1,wilcoxon,holm
50,hfl_no_reputation,hfl_no_selection,10,0.0,0.001953125,0.07594908722144633,False,macro_f1,wilcoxon,holm
200,power_of_choice,proposed_hfl,10,0.0,0.001953125,-0.023926791874819896,False,macro_f1,wilcoxon,holm
30,power_of_choice,proposed_hfl,10,0.0,0.001953125,-0.12706238902427147,False,macro_f1,wilcoxon,holm
30,oort,proposed_hfl,10,0.0,0.001953125,-0.14365741278628713,False,macro_f1,wilcoxon,holm
50,oort,proposed_hfl,10,0.0,0.001953125,-0.11538231060020569,False,macro_f1,wilcoxon,holm
50,mozaffari2016,rep_cap,10,0.0,0.001953125,0.13578429064694744,False,macro_f1,wilcoxon,holm
50,alzenad2017,rep_cap,10,0.0,0.001953125,0.11654502914289473,False,macro_f1,wilcoxon,holm
30,centralized,fair_mab,10,0.0,0.001953125,0.15368552679848016,False,macro_f1,wilcoxon,holm
