scenario,method,mean,std,count,weight_setting,w1,w2,w3,rank_within_scenario
epicenter_biased_N250_K10,alzenad2017,0.5881768709295048,0.025944573851762104,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,2.0
epicenter_biased_N250_K10,centroid,0.6053220965363971,0.026065408652745772,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,1.0
epicenter_biased_N250_K10,mozaffari2016,0.5154553846268776,0.057938185237725474,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,3.0
epicenter_biased_N250_K10,static,0.33836689233956513,0.24158423163065823,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,4.0
real_N250_K10,alzenad2017,0.5271611147683462,0.01631763185368687,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,3.0
real_N250_K10,centroid,0.5280032161418956,0.019096226471893064,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,2.0
real_N250_K10,mozaffari2016,0.5502774916984821,0.014247529692533945,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,1.0
real_N250_K10,static,0.18414123751163203,0.07693365595968119,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,4.0
uniform_N250_K10,alzenad2017,0.32658402060760844,0.024256444925885256,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,3.0
uniform_N250_K10,centroid,0.3374188698523699,0.03684341339216377,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,2.0
uniform_N250_K10,mozaffari2016,0.4352922649011546,0.02107386605626502,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,1.0
uniform_N250_K10,static,0.24220410615237625,0.04569278807984062,30,w1=0.9,0.9,0.01587301587301587,0.0841269841269841,4.0
clustered_N250_K10,alzenad2017,0.27126897819545526,0.03470686267273038,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,3.0
clustered_N250_K10,centroid,0.28265358781293876,0.03276972818482679,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,1.0
clustered_N250_K10,mozaffari2016,0.28175600092177233,0.031359181410503374,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,2.0
clustered_N250_K10,static,0.08070658368923903,0.0659208889658506,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,4.0
epicenter_biased_N250_K10,alzenad2017,0.33482854824697733,0.030088789556619304,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,2.0
epicenter_biased_N250_K10,centroid,0.3429793423933087,0.030540269915149312,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,1.0
epicenter_biased_N250_K10,mozaffari2016,0.2823897555905651,0.045187499614466435,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,3.0
epicenter_biased_N250_K10,static,0.22549148409233793,0.16105563164532963,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,4.0
real_N250_K10,alzenad2017,0.23522225170409297,0.02165398533201349,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,3.0
real_N250_K10,centroid,0.2377118577600951,0.023919858592167383,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,2.0
real_N250_K10,mozaffari2016,0.2536917590311257,0.01784415496325754,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,1.0
real_N250_K10,static,0.12269097267618502,0.05127040092487793,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,4.0
uniform_N250_K10,alzenad2017,0.10791759112645068,0.0220450525316647,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,4.0
uniform_N250_K10,centroid,0.1194641292386516,0.03188206497397691,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,3.0
uniform_N250_K10,mozaffari2016,0.18751165265509442,0.022947886772708394,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,1.0
uniform_N250_K10,static,0.16142292644373585,0.03044914410874707,30,paper_0.6/0.3/0.1,0.6,0.3,0.1,2.0
