R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
5000.0,mclp_place,random_place,10,1.0,0.00390625,0.048236992402331993,0.9636363636363636,0.028635992014485866,0.06835936533814349,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,moon2022,10,2.0,0.005859375,-0.034934255245252885,-0.9272727272727272,-0.05475315246877989,-0.016743865816139875,False,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,gwo_place,10,3.0,0.009765625,0.03200247252934314,0.8909090909090909,0.01497803343045798,0.048361092040030154,False,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,de_place,10,3.0,0.009765625,0.03195599380974605,0.8909090909090909,0.015046444056390891,0.049733682143867954,False,group,mclp_place,macro_f1,wilcoxon,holm
4000.0,mclp_place,flat_fl,10,3.0,0.009765625,-0.04655110152106478,-0.8909090909090909,-0.07303925543112677,-0.02215615220264425,False,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,ahc_place,10,4.0,0.013671875,0.04538915584292881,0.8545454545454545,0.02068520677069552,0.0695581875824171,False,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,ahc_place,10,5.0,0.01953125,0.02723376666062367,0.8181818181818182,0.009612962852943182,0.04312275817584392,False,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,ga_place,10,5.0,0.01953125,0.040849824851711285,0.8181818181818182,0.012648516539649655,0.07209095004387252,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,cap_kmeans_place,10,6.0,0.02734375,0.029409696154830196,0.7818181818181819,0.007484146782482613,0.05583846298873803,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,flat_fl,10,7.0,0.037109375,-0.018941333812508336,-0.7454545454545455,-0.03223986470399758,-0.0042313928004573675,False,group,mclp_place,macro_f1,wilcoxon,holm
4000.0,mclp_place,moon2022,10,7.0,0.037109375,-0.040625738392547114,-0.7454545454545455,-0.06869356791156458,-0.012034739058856348,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,de_place,10,7.0,0.037109375,0.028321559226206057,0.7454545454545455,0.00713097306849595,0.05151752438817532,False,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,ga_place,10,7.0,0.037109375,0.07965297185583312,0.7454545454545455,0.021501090663124844,0.13908988366365152,False,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,proposed_hfl,10,7.0,0.037109375,0.023780523734689744,0.7454545454545455,0.0072022294616191085,0.041755658797020624,False,group,mclp_place,macro_f1,wilcoxon,holm
1000.0,mclp_place,random_place,10,8.0,0.048828125,0.07639670369209357,0.7090909090909091,0.018403720997631507,0.13699272647555602,False,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,pso_cluster_place,10,8.0,0.048828125,0.025975838197714058,0.7090909090909091,0.007631556019185134,0.04429076180480766,False,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,mozaffari2016,10,8.0,0.048828125,0.020163776385636677,0.7090909090909091,0.004391247333483531,0.03568024331062649,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,gwo_place,10,8.0,0.048828125,0.018173202619393203,0.7090909090909091,0.0037300666853825083,0.032778730845443055,False,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,cap_kmeans_place,10,9.0,0.064453125,0.023982059710574072,0.6727272727272727,0.004161156859324828,0.04290538681056477,False,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,gwo_place,10,9.0,0.064453125,0.046165552214429105,0.6727272727272727,0.00662002308157997,0.08709152933860785,False,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,random_place,10,9.0,0.064453125,0.06666244576778538,0.6727272727272727,0.005824163452030259,0.12183693912279137,False,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,ga_place,10,10.0,0.083984375,0.027279972178200135,0.6363636363636364,0.003822071664239105,0.05223477742261055,False,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,hfl_static,10,10.0,0.083984375,-0.045391086151024176,-0.6363636363636364,-0.09093414257643896,-0.0010704675894297193,False,group,mclp_place,macro_f1,wilcoxon,holm
4000.0,mclp_place,mogoa,10,10.0,0.083984375,0.0395410840646548,0.6363636363636364,0.002289979763126093,0.07280276193923257,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,hfl_static,10,10.0,0.083984375,0.02307216847515703,0.6363636363636364,0.001278698845161459,0.044779634175283606,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,spiral_place,10,11.0,0.10546875,0.017019735790458353,0.6,0.00024195625665826255,0.03356042709971436,False,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,de_place,10,11.0,0.10546875,0.015212705639761159,0.6,-0.00037511365996937223,0.030585820026002245,False,group,mclp_place,macro_f1,wilcoxon,holm
1000.0,mclp_place,pso_cluster_place,10,12.0,0.130859375,0.03153475541657289,0.5636363636363636,-0.014346388699007093,0.071392148892618,False,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,proposed_hfl,10,12.0,0.130859375,0.01925109259662471,0.5636363636363636,-0.0006198946896279866,0.03802557061872894,False,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,hfl_static,10,12.0,0.130859375,0.024862521475403243,0.5636363636363636,-0.0033464826974299393,0.0596123510346092,False,group,mclp_place,macro_f1,wilcoxon,holm
4000.0,mclp_place,cap_kmeans_place,10,12.0,0.130859375,0.01512283369346316,0.5636363636363636,-0.0007281841593740392,0.03298292037797493,False,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,centroid_place,10,13.0,0.16015625,0.05746244211859869,0.5272727272727272,-0.008314461567821448,0.112906733751736,False,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,moon2022,10,13.0,0.16015625,-0.038740267920505965,-0.5272727272727272,-0.08133461069123048,0.005924622129901226,False,group,mclp_place,macro_f1,wilcoxon,holm
4000.0,mclp_place,pso_cluster_place,10,14.0,0.193359375,-0.021998445704352353,-0.4909090909090909,-0.04594857969823107,0.0030115451552558837,False,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,hfl_static,10,14.0,0.193359375,0.022403680978839456,0.4909090909090909,0.0009471978646686985,0.04544688050893171,False,group,mclp_place,macro_f1,wilcoxon,holm
1000.0,mclp_place,ga_place,10,14.0,0.193359375,0.06349586533515325,0.4909090909090909,-0.01806289711963957,0.14844735510689686,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,centroid_place,10,14.0,0.193359375,0.013892479643587769,0.4909090909090909,-0.0040742385859846905,0.031077937706145337,False,group,mclp_place,macro_f1,wilcoxon,holm
1000.0,mclp_place,mogoa,10,15.0,0.232421875,0.03611881553095835,0.45454545454545453,-0.013703168887899918,0.07785182076485683,False,group,mclp_place,macro_f1,wilcoxon,holm
4000.0,mclp_place,mozaffari2016,10,15.0,0.232421875,0.012404104159452029,0.45454545454545453,-0.012519770542397045,0.035577272118145695,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,proposed_hfl,10,15.0,0.232421875,0.01868710974270818,0.45454545454545453,-0.008292870216650162,0.04332113389982045,False,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,proposed_hfl,10,17.0,0.322265625,0.04477164569062044,0.38181818181818183,-0.023777951997684524,0.1183591673182371,False,group,mclp_place,macro_f1,wilcoxon,holm
2000.0,mclp_place,centroid_place,10,17.0,0.322265625,0.013552811966839412,0.38181818181818183,-0.010168297967175942,0.03627661803196452,False,group,mclp_place,macro_f1,wilcoxon,holm
1000.0,mclp_place,mozaffari2016,10,17.0,0.322265625,0.012425124814913702,0.38181818181818183,-0.028731250135018604,0.04733696942133056,False,group,mclp_place,macro_f1,wilcoxon,holm
1000.0,mclp_place,hfl_static,10,18.0,0.375,0.009217568269385768,0.34545454545454546,-0.0472722705004029,0.05338728102044089,False,group,mclp_place,macro_f1,wilcoxon,holm
4000.0,mclp_place,ahc_place,10,18.0,0.375,0.021085473008791128,0.34545454545454546,-0.01218234266990807,0.05608701135316893,False,group,mclp_place,macro_f1,wilcoxon,holm
1000.0,mclp_place,spiral_place,10,19.0,0.431640625,-0.02865215791134637,-0.3090909090909091,-0.07802834388018369,0.015503985927606127,False,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,de_place,10,19.0,0.431640625,0.01571541682877833,0.3090909090909091,-0.039253137765573126,0.06656803628503889,False,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,moon2022,10,19.0,0.431640625,-0.008397212906458878,-0.3090909090909091,-0.03465615579850634,0.018215966377978687,False,group,mclp_place,macro_f1,wilcoxon,holm
4000.0,mclp_place,gwo_place,10,20.0,0.4921875,0.014340567857516745,0.2727272727272727,-0.022414240649040323,0.05016694808188402,False,group,mclp_place,macro_f1,wilcoxon,holm
5000.0,mclp_place,mogoa,10,20.0,0.4921875,0.010059155549196324,0.2727272727272727,-0.01183169759441653,0.03142777266648654,False,group,mclp_place,macro_f1,wilcoxon,holm
3000.0,mclp_place,gwo_place,10,20.0,0.4921875,0.012770140080505515,0.2727272727272727,-0.01233004638124994,0.037446887271216124,False,group,mclp_place,macro_f1,wilcoxon,holm
1000.0,mclp_place,gwo_place,10,20.0,0.4921875,0.032109594534040026,0.2727272727272727,-0.021115364957685144,0.09055577080729703,False,group,mclp_place,macro_f1,wilcoxon,holm
500.0,mclp_place,spiral_place,10,20.0,0.4921875,-0.036246819517274834,-0.2727272727272727,-0.09124816248142376,0.009542625855628857,False,group,mclp_place,macro_f1,wilcoxon,holm
