R_comm,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
5000.0,mclp_place,pso_cluster_place,10,10.0,0.083984375,-0.02368701177903202,-0.6363636363636364,-0.05957804207834698,-0.002749009959746508,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,gwo_place,10,11.0,0.10546875,-0.04093176418494915,-0.6,-0.09380204916389559,-0.0016589265118882501,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,mogoa,10,11.0,0.10546875,-0.17425717806092803,-0.6,-0.3272752716210985,-0.03575155471930652,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,ahc_place,10,11.0,0.10546875,-0.13421076538020854,-0.6,-0.26466224391647003,-0.007394624456259982,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,alzenad2017,10,11.0,0.10546875,-0.1883096038659347,-0.6,-0.3335369616277885,-0.05847885928998229,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,centroid_place,10,12.0,0.130859375,-0.053689414976679985,-0.5636363636363636,-0.12536934257333165,-0.0012274272103566046,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,moon2022,10,12.0,0.130859375,0.028996178847774536,0.5636363636363636,-0.012326628930877525,0.06861284436111718,False,group,mclp_place,accuracy,wilcoxon,holm
500.0,mclp_place,cap_kmeans_place,10,12.0,0.130859375,-0.15712983567436173,-0.5636363636363636,-0.31844887677018263,0.023618814155358752,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,centroid_place,10,12.0,0.130859375,-0.01168944103770132,-0.5636363636363636,-0.05978724437355132,0.0322263022551181,False,group,mclp_place,accuracy,wilcoxon,holm
5000.0,mclp_place,mogoa,10,13.0,0.16015625,-0.022265672486834243,-0.5272727272727272,-0.05955388442254443,0.00013227381183590568,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,de_place,10,13.0,0.16015625,-0.05483032255947471,-0.5272727272727272,-0.12675069407651485,-0.002073293597786524,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,mozaffari2016,10,13.0,0.16015625,0.08081237978621092,0.5272727272727272,-0.06990153373311246,0.20255259486519311,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,gwo_place,10,14.0,0.193359375,-0.10803445053849425,-0.4909090909090909,-0.2898706643899501,0.09450891848753755,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,gwo_place,10,14.0,0.193359375,-0.05418767367435453,-0.4909090909090909,-0.12585599586914778,-0.0015272602021790373,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,proposed_hfl,10,14.0,0.193359375,-0.05433907644783825,-0.4909090909090909,-0.1258397275937293,-0.00169818621299797,False,group,mclp_place,accuracy,wilcoxon,holm
2000.0,mclp_place,pso_cluster_place,10,14.0,0.193359375,-0.05432900852295203,-0.4909090909090909,-0.12606717472872137,-0.001707266621257878,False,group,mclp_place,accuracy,wilcoxon,holm
1000.0,mclp_place,spiral_place,10,15.0,0.232421875,0.09382697215370221,0.45454545454545453,-0.047644134563155915,0.22761988631012758,False,group,mclp_place,accuracy,wilcoxon,holm
3000.0,mclp_place,random_place,10,15.0,0.232421875,-0.023260041153953016,-0.45454545454545453,-0.08586938680332644,0.034569451559476695,False,group,mclp_place,accuracy,wilcoxon,holm
