scenario,method_a,method_b,n_pairs,statistic,p_value,mean_diff,effect_size,ci_low,ci_high,significant,correction_scope,reference,metric,test,correction
uniform_N250_K10,mozaffari2016,static,20,0.0,1.9073486328125e-06,-0.10158532008573593,-1.0,-0.12104930086873497,-0.08363461271934894,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,mozaffari2016,random,20,0.0,1.9073486328125e-06,-0.16618619101355553,-1.0,-0.17844601017610556,-0.15547139753374004,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,mozaffari2016,random,20,0.0,1.9073486328125e-06,-0.1305494181686695,-1.0,-0.14361411120308637,-0.11720018088415382,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,pso,random,20,0.0,1.9073486328125e-06,0.3049039765001128,1.0,0.2831510395032153,0.3248106225259798,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,random,20,0.0,1.9073486328125e-06,0.38934673424728944,1.0,0.3625260689800926,0.4151811064578917,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,pso,random,20,0.0,1.9073486328125e-06,0.2625196397467238,1.0,0.2469773633865454,0.2778307335262048,True,table,,final_fitness,wilcoxon,holm
real_N250_K10,pso,static,20,0.0,1.9073486328125e-06,0.34421275203093615,1.0,0.313120299657895,0.37364619540404687,True,table,,final_fitness,wilcoxon,holm
epicenter_biased_N250_K10,pso,static,20,0.0,1.9073486328125e-06,0.37151903215626947,1.0,0.2810923405156664,0.45811903856998537,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,pso,static,20,0.0,1.9073486328125e-06,0.19588501002007241,1.0,0.17871903616002208,0.21189323901770932,True,table,,final_fitness,wilcoxon,holm
clustered_N250_K10,mozaffari2016,random,20,1.0,3.814697265625e-06,-0.12953675682075128,-0.9904761904761905,-0.1587227798575279,-0.09991866540450575,True,table,,final_fitness,wilcoxon,holm
uniform_N250_K10,centroid,random,20,1.0,3.814697265625e-06,0.06964313207050964,0.9904761904761905,0.05819419849671631,0.07983349674433371,True,table,,final_fitness,wilcoxon,holm
